	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	223.68	20.23	266.592	29.891	Contract	0.0	0.36	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	289.68	20.485	332.141	31.194	193137	0.0	0.29	0.0	0.0	0.5	0	6	1.0	1.0	12.171161	0
2	0	447.96	22.394	460.776	27.632	Date	0.0	0.21	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
3	0	462.364	22.394	483.772	27.632	Entered	0.0	0.22	0.0	0.0	0.0	598	7	0.0	0.0	0.0	0
4	0	503.76	22.727	532.046	29.513	08/08/12	0.0	0.17	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
5	0	608.28	21.562	627.696	28.313	WJLA	0.0	0.17	0.0	0.0	0.0	2843	4	0.0	0.0	0.0	0
6	0	629.762	21.562	662.429	28.313	Arlington	0.0	0.17	0.0	0.0	0.0	2084	9	0.0	0.0	0.0	0
7	0	664.446	21.562	690.17	28.313	(WJLA)	0.0	0.18	0.0	0.0	0.0	2843	6	0.0	0.0	0.0	0
8	0	223.68	33.314	248.489	38.552	Schedule	0.0	0.21	0.0	0.0	0.0	387	8	0.0	0.0	0.0	0
9	0	250.077	33.314	265.707	38.552	Dates	0.0	0.18	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
10	0	289.68	33.647	348.804	40.433	08/09/12-08/09/12	0.0	0.15	0.0	0.0	0.0	0	17	0.7058824	0.0	0.0	0
11	0	447.96	33.914	459.333	39.152	Last	0.0	0.15	0.0	0.0	0.0	330	4	0.0	0.0	0.0	0
12	0	460.925	33.914	484.486	39.152	Modified	0.0	0.21	0.0	0.0	0.0	645	8	0.0	0.0	0.0	0
13	0	503.76	34.247	532.046	41.033	08/08/12	0.0	0.21	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
14	0	618.0	31.127	648.163	37.913	Broadcast	0.0	0.28	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
15	0	650.274	31.127	669.528	37.913	Month	0.0	0.26	0.0	0.0	0.0	52	5	0.0	0.0	0.0	0
16	0	678.6	31.02	696.519	37.19	Spots	0.0	0.26	0.0	0.0	0.0	4	5	0.0	0.0	0.0	0
17	0	747.12	31.02	761.949	37.19	Rate	0.0	0.26	0.0	0.0	0.0	13	4	0.0	0.0	0.0	0
18	0	608.283	41.087	622.273	47.873	Aug.	0.0	0.26	0.0	0.0	0.0	1482	4	0.0	0.0	0.0	0
19	0	626.64	41.087	641.969	47.873	2012	0.0	0.22	0.0	0.0	0.57	0	4	1.0	1.0	7.6073813	0
20	0	728.04	41.087	759.216	47.873	$4,700.00	0.0	0.28	0.0	0.0	1.0	0	9	0.6666667	1.0	8.45553	gross_amount
21	0	115.44	45.767	135.135	54.209	WJLA	0.0	0.49	0.0	0.0	0.0	2843	4	0.0	0.0	0.0	0
22	0	223.682	44.495	254.862	50.315	Advertiser	0.0	0.6	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
23	0	289.68	44.928	309.461	51.714	Comm	0.0	1.0	0.0	0.0	0.0	485	4	0.0	0.0	0.0	advertiser
24	0	311.649	44.928	337.072	51.714	Workers	0.0	1.0	0.0	0.0	0.0	3885	7	0.0	0.0	0.0	advertiser
25	0	347.408	44.928	372.185	51.714	America	0.0	1.0	0.0	0.0	0.0	201	7	0.0	0.0	0.0	advertiser
26	0	374.288	44.928	398.804	51.714	(16071)	0.0	0.74	0.0	0.0	0.0	0	7	0.71428573	0.0	0.0	0
27	0	447.96	45.554	469.368	50.792	Entered	0.0	0.42	0.0	0.0	0.0	598	7	0.0	0.0	0.0	0
28	0	503.763	44.207	521.328	50.993	Taryn	0.0	0.24	0.0	0.0	0.0	17150	5	0.0	0.0	0.0	0
29	0	523.444	44.207	541.275	50.993	Crane	0.0	0.24	0.0	0.0	0.0	12658	5	0.0	0.0	0.0	0
30	0	115.44	55.007	131.79	63.449	1100	0.0	0.23	0.0	0.0	0.71	0	4	1.0	1.0	7.003974	0
31	0	133.798	55.007	156.026	63.449	Wilson	0.0	0.23	0.0	0.0	0.0	2709	6	0.0	0.0	0.0	0
32	0	158.033	55.007	174.487	63.449	Blvd.	0.0	0.26	0.0	0.0	0.0	365	5	0.0	0.0	0.0	0
33	0	176.511	55.007	186.742	63.449	6th	0.0	0.31	0.0	0.0	0.0	175	3	0.33333334	0.0	0.0	0
34	0	188.75	55.007	205.609	63.449	Floor	0.0	0.33	0.0	0.0	0.0	681	5	0.0	0.0	0.0	0
35	0	223.682	56.735	245.503	62.555	Agency	0.0	0.33	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
36	0	289.68	57.648	308.901	64.434	Sound	0.0	0.36	0.0	0.0	0.0	10523	5	0.0	0.0	0.0	0
37	0	311.05	57.648	361.575	64.434	Communications	0.0	0.41	0.0	0.0	0.0	806	14	0.0	0.0	0.0	0
38	0	363.746	57.648	384.421	64.434	(3339)	0.0	0.35	0.0	0.0	0.0	0	6	0.6666667	0.0	0.0	0
39	0	447.96	57.074	465.79	62.312	CO-OP	0.0	0.32	0.0	0.0	0.0	675	5	0.0	0.0	0.0	0
40	0	608.28	52.829	625.241	59.03	Grand	0.0	0.32	0.0	0.0	0.0	503	5	0.0	0.0	0.0	0
41	0	627.246	52.829	643.659	59.03	Total:	0.0	0.32	0.0	0.0	0.0	106	6	0.0	0.0	0.0	0
42	0	728.04	54.407	759.215	61.193	$4,700.00	0.0	0.11	0.0	0.0	1.0	0	9	0.6666667	1.0	8.45553	gross_amount
43	0	115.444	65.687	146.533	74.129	Arlington,	0.0	0.12	0.0	0.0	0.0	2084	10	0.0	0.0	0.0	0
44	0	162.478	65.687	182.908	74.129	22209	0.0	0.2	0.0	0.0	0.53	0	5	1.0	1.0	10.008298	0
45	0	223.68	69.314	245.006	74.552	Product	0.0	0.26	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
46	0	289.68	69.647	316.075	76.433	Charities	0.0	0.31	0.0	0.0	0.0	17151	9	0.0	0.0	0.0	0
47	0	322.928	69.647	349.322	76.433	Charities	0.0	0.31	0.0	0.0	0.0	17151	9	0.0	0.0	0.0	0
48	0	351.494	69.647	372.169	76.433	(1010)	0.0	0.27	0.0	0.0	0.0	0	6	0.6666667	0.0	0.0	0
49	0	447.96	68.594	471.935	73.832	Headline	0.0	0.23	0.0	0.0	0.0	949	8	0.0	0.0	0.0	0
50	0	503.76	67.247	546.937	74.033	ECR07895619	0.0	0.22	0.0	0.0	0.0	957	11	0.72727275	0.0	0.0	0
51	0	223.68	81.314	239.926	86.552	Brand	0.0	0.22	0.0	0.0	0.0	366	5	0.0	0.0	0.0	0
52	0	289.68	81.647	326.015	88.433	CWA-12080	0.0	0.24	0.0	0.0	0.0	17152	9	0.5555556	0.0	0.0	0
53	0	328.212	81.647	352.727	88.433	(70710)	0.0	0.3	0.0	0.0	0.0	0	7	0.71428573	0.0	0.0	0
54	0	447.959	80.114	463.779	85.352	Demo	0.0	0.35	0.0	0.0	0.0	416	4	0.0	0.0	0.0	0
