	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	240.56	11.168	301.472	20.416	Acknowledgment	0.0	0.19	0.0	0.0	0.0	855	14	0.0	0.0	0.0	0
1	0	312.592	11.168	351.72	20.416	Agreement	0.0	0.22	0.0	0.0	0.0	115	9	0.0	0.0	0.0	0
2	0	353.944	11.168	385.072	20.416	Between	0.0	0.18	0.0	0.0	0.0	120	7	0.0	0.0	0.0	0
3	0	387.296	11.168	423.736	20.416	WTVD-TV	0.0	0.12	0.0	0.0	0.0	2159	7	0.0	0.0	0.0	0
4	0	425.96	11.168	461.064	20.416	DURHAM	0.0	0.15	0.0	0.0	0.0	1964	6	0.0	0.0	0.0	0
5	0	463.288	11.168	476.632	20.416	and	0.0	0.15	0.0	0.0	0.0	77	3	0.0	0.0	0.0	0
6	0	598.12	9.776	666.432	19.296	DATE:08-03-2012	0.0	0.12	0.0	0.0	0.0	8	15	0.53333336	0.0	0.0	0
7	0	679.52	9.776	712.088	19.296	PAGE:1	0.0	0.18	0.0	0.0	0.0	7	6	0.16666667	0.0	0.0	0
8	0	130.52	23.518	166.96	32.766	WTVD-TV	0.0	0.21	0.0	0.0	0.0	2159	7	0.0	0.0	0.0	0
9	0	169.184	23.518	204.288	32.766	DURHAM	0.0	0.18	0.0	0.0	0.0	1964	6	0.0	0.0	0.0	0
10	0	510.04	23.717	534.54	31.809	SMART	0.0	0.21	0.0	0.0	0.0	671	5	0.0	0.0	0.0	0
11	0	536.486	23.717	558.655	31.809	MEDIA	0.0	0.21	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
12	0	560.601	23.717	588.216	31.809	GROUP,	0.0	0.21	0.0	0.0	0.0	281	6	0.0	0.0	0.0	0
13	0	590.162	23.717	603.0	31.809	LLC	0.0	0.19	0.0	0.0	0.0	317	3	0.0	0.0	0.0	0
14	0	609.223	23.717	628.683	31.809	11950	0.0	0.15	0.0	0.0	0.67	0	5	1.0	1.0	9.38857	0
15	0	130.52	32.518	143.864	41.766	411	0.0	0.18	0.0	0.0	0.46	0	3	1.0	1.0	6.0210233	0
16	0	146.088	32.518	179.432	41.766	LIBERTY	0.0	0.19	0.0	0.0	0.0	1893	7	0.0	0.0	0.0	0
17	0	181.656	32.518	213.216	41.766	STREET	0.0	0.24	0.0	0.0	0.0	162	6	0.0	0.0	0.0	0
18	0	510.04	31.957	530.263	40.049	ATTN:	0.0	0.28	0.0	0.0	0.0	875	5	0.0	0.0	0.0	0
19	0	532.209	31.957	563.324	40.049	MICHELE	0.0	0.32	0.0	0.0	0.0	3024	7	0.0	0.0	0.0	0
20	0	565.27	31.957	595.223	40.049	BROOKS	0.0	0.32	0.0	0.0	0.0	5233	6	0.0	0.0	0.0	0
21	0	130.52	41.518	165.624	50.766	DURHAM	0.0	0.31	0.0	0.0	0.0	1964	6	0.0	0.0	0.0	0
22	0	181.624	41.518	203.864	50.766	27701	0.0	0.22	0.0	0.0	0.53	0	5	1.0	1.0	10.2292595	0
23	0	510.04	40.227	521.716	48.319	814	0.0	0.13	0.0	0.0	0.46	0	3	1.0	1.0	6.703188	0
24	0	523.662	40.227	540.777	48.319	KING	0.0	0.14	0.0	0.0	0.0	586	4	0.0	0.0	0.0	0
25	0	542.723	40.227	570.338	48.319	STREET	0.0	0.17	0.0	0.0	0.0	162	6	0.0	0.0	0.0	0
26	0	510.04	48.467	530.655	56.559	SUITE	0.0	0.14	0.0	0.0	0.0	140	5	0.0	0.0	0.0	0
27	0	532.601	48.467	544.277	56.559	400	0.0	0.12	0.0	0.0	0.77	0	3	1.0	1.0	5.9939613	0
28	0	510.04	56.707	554.385	64.799	ALEXANDRIA	0.0	0.13	0.0	0.0	0.0	220	10	0.0	0.0	0.0	0
29	0	567.615	56.707	587.075	64.799	22314	0.0	0.24	0.0	0.0	0.4	0	5	1.0	1.0	10.013015	0
30	0	11.0	83.158	41.232	92.406	Contract	0.0	0.29	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
31	0	60.76	83.158	90.992	92.406	Contract	0.0	0.28	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
32	0	112.12	83.158	142.792	92.406	Revision	0.0	0.33	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
33	0	161.64	83.158	180.312	92.406	Rev#	0.0	0.33	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
34	0	185.64	83.158	221.648	92.406	Advertiser	0.0	0.33	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
35	0	348.76	83.158	370.104	92.406	Brand	0.0	0.27	0.0	0.0	0.0	366	5	0.0	0.0	0.0	0
36	0	527.64	83.168	555.208	92.416	Product	0.0	0.28	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
37	0	557.432	83.168	576.552	92.416	Code	0.0	0.28	0.0	0.0	0.0	19	4	0.0	0.0	0.0	0
38	0	659.24	83.168	710.816	92.416	Station/Market	0.0	0.19	0.0	0.0	0.0	853	14	0.0	0.0	0.0	0
39	0	19.12	93.278	45.808	102.526	391911	0.0	0.16	0.0	0.0	0.38	0	6	1.0	1.0	12.878793	0
40	0	59.08	93.278	99.992	102.526	06-29-2012	0.0	0.3	0.0	0.0	0.0	0	10	0.8	0.0	0.0	0
41	0	110.24	93.278	151.152	102.526	08-03-2012	0.0	0.51	0.0	0.0	0.0	0	10	0.8	0.0	0.0	0
42	0	184.52	93.278	225.848	102.526	MCCRORY	0.0	1.0	0.0	0.0	0.0	2599	7	0.0	0.0	0.0	advertiser
43	0	228.072	93.278	244.96	102.526	FOR	0.0	1.0	0.0	0.0	0.0	50	3	0.0	0.0	0.0	advertiser
44	0	247.184	93.278	293.856	102.526	GOVERNOR	0.0	1.0	0.0	0.0	0.0	1034	8	0.0	0.0	0.0	advertiser
45	0	348.76	93.278	384.312	102.526	MCRORY	0.0	0.92	0.0	0.0	0.0	6819	6	0.0	0.0	0.0	0
46	0	386.536	93.278	403.424	102.526	FOR	0.0	0.92	0.0	0.0	0.0	50	3	0.0	0.0	0.0	0
47	0	419.424	93.278	466.096	102.526	GOVERNOR	0.0	0.92	0.0	0.0	0.0	1034	8	0.0	0.0	0.0	0
48	0	527.64	93.278	573.88	102.526	POLITICALS	0.0	0.54	0.0	0.0	0.0	856	10	0.0	0.0	0.0	0
49	0	659.24	93.278	682.792	102.526	WTVD	0.0	0.43	0.0	0.0	0.0	1951	4	0.0	0.0	0.0	0
50	0	689.904	93.278	725.008	102.526	DURHAM	0.0	0.24	0.0	0.0	0.0	1964	6	0.0	0.0	0.0	0
51	0	35.44	113.518	62.12	122.766	Agency	0.0	0.24	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
52	0	64.344	113.518	80.352	122.766	Est#	0.0	0.24	0.0	0.0	0.0	395	4	0.0	0.0	0.0	0
53	0	142.88	113.928	160.656	123.176	CMS	0.0	0.18	0.0	0.0	0.0	890	3	0.0	0.0	0.0	0
54	0	184.48	113.518	204.488	122.766	Sales	0.0	0.22	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
55	0	206.712	113.518	227.608	122.766	Office	0.0	0.27	0.0	0.0	0.0	12	6	0.0	0.0	0.0	0
56	0	257.96	113.518	286.864	122.766	Account	0.0	0.32	0.0	0.0	0.0	15	7	0.0	0.0	0.0	0
57	0	289.088	113.518	323.768	122.766	Executive	0.0	0.31	0.0	0.0	0.0	24	9	0.0	0.0	0.0	0
58	0	361.68	113.518	378.576	122.766	Start	0.0	0.31	0.0	0.0	0.0	26	5	0.0	0.0	0.0	0
59	0	380.8	113.518	397.696	122.766	Date	0.0	0.28	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
60	0	415.52	113.518	429.752	122.766	End	0.0	0.26	0.0	0.0	0.0	28	3	0.0	0.0	0.0	0
61	0	431.976	113.518	448.872	122.766	Date	0.0	0.18	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
62	0	461.24	113.518	482.576	122.766	Billing	0.0	0.19	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
63	0	581.64	113.518	612.768	122.766	Package	0.0	0.24	0.0	0.0	0.0	390	7	0.0	0.0	0.0	0
