	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	18.0	25.174	48.232	25.217	Contract	0.0	0.36	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	50.456	25.174	89.584	25.217	Agreement	0.0	0.33	0.0	0.0	0.0	115	9	0.0	0.0	0.0	0
2	0	91.808	25.174	125.16	25.217	Between:	0.0	0.25	0.0	0.0	0.0	120	8	0.0	0.0	0.0	0
3	0	429.272	25.174	445.72	25.217	Print	0.0	0.5	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
4	0	447.944	25.174	464.84	25.217	Date	0.0	0.33	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
5	0	474.001	25.174	505.137	25.217	08/29/12	0.0	0.2	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
6	0	533.251	25.174	551.931	25.217	Page	0.0	0.17	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
7	0	261.18	41.705	350.94	41.794	CONTRACT	0.0	0.36	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
8	0	119.999	63.207	143.879	63.262	WRC	0.0	0.67	0.0	0.0	0.0	954	3	0.0	0.0	0.0	advertiser
9	0	406.681	60.424	436.913	60.467	Contract	0.0	0.43	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
10	0	443.585	60.424	474.257	60.467	Revision	0.0	0.36	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
11	0	495.842	60.424	505.178	60.467	Alt	0.0	0.29	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
12	0	507.402	60.424	527.85	60.467	Order	0.0	0.25	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
13	0	119.999	75.207	142.239	75.262	4001	0.0	0.19	0.0	0.0	0.62	0	4	1.0	1.0	8.29455	0
14	0	145.019	75.207	190.039	75.262	Nebraska	0.0	0.24	0.0	0.0	0.0	982	8	0.0	0.0	0.0	0
15	0	192.819	75.207	213.939	75.262	Ave.	0.0	0.24	0.0	0.0	0.0	198	4	0.0	0.0	0.0	0
16	0	417.001	72.424	443.689	72.467	330468	0.0	0.18	0.0	0.0	0.44	0	6	1.0	1.0	12.708268	0
17	0	495.842	72.424	550.978	72.467	WOC10032631	0.0	0.17	0.0	0.0	0.0	663	11	0.72727275	0.0	0.0	0
18	0	119.999	87.207	179.999	87.262	Washington,	0.0	0.25	0.0	0.0	0.0	97	11	0.0	0.0	0.0	0
19	0	202.779	87.207	230.579	87.262	20016	0.0	0.27	0.0	0.0	0.71	0	5	1.0	1.0	9.904337	0
20	0	309.002	85.924	336.57	85.967	Product	0.0	0.4	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
21	0	119.999	99.207	143.339	99.262	(202)	0.0	0.27	0.0	0.0	0.0	0	5	0.6	0.0	0.0	0
22	0	146.119	99.207	188.369	99.262	885-4000	0.0	0.19	0.0	0.0	0.0	0	8	0.875	0.0	0.0	0
23	0	308.251	110.674	338.483	110.717	Contract	0.0	0.36	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
24	0	340.707	110.674	361.603	110.717	Dates	0.0	0.25	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
25	0	407.251	110.674	438.371	110.717	Estimate	0.0	0.17	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
26	0	18.0	121.412	92.008	121.457	www.nbcwashington.com	0.0	0.17	0.0	0.0	0.0	997	21	0.0	0.0	0.0	0
27	0	308.251	122.914	339.387	122.958	08/18/12	0.0	0.12	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
28	0	346.499	122.914	377.635	122.958	08/24/12	0.0	0.12	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
29	0	407.251	122.914	425.043	122.958	3038	0.0	0.16	0.0	0.0	0.5	0	4	1.0	1.0	8.019284	0
30	0	309.002	135.424	345.01	135.467	Advertiser	0.0	0.19	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
31	0	484.501	135.424	512.061	135.467	Original	0.0	0.36	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
32	0	514.285	135.424	531.181	135.467	Date	0.0	0.27	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
33	0	537.853	135.424	568.525	135.467	Revision	0.0	0.36	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
34	0	309.002	147.664	361.442	147.708	REPUBLICAN	0.0	0.31	0.0	0.0	0.0	483	10	0.0	0.0	0.0	0
35	0	363.666	147.664	386.898	147.708	NAT'L	0.0	0.25	0.0	0.0	0.0	2331	5	0.0	0.0	0.0	0
36	0	389.122	147.664	432.234	147.708	COMMITEE	0.0	0.25	0.0	0.0	0.0	5144	8	0.0	0.0	0.0	0
37	0	491.041	147.424	522.177	147.467	08/16/12	0.0	0.18	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
38	0	544.665	147.424	575.801	147.467	08/22/12	0.0	0.15	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
39	0	18.0	157.174	34.456	157.217	And:	0.0	0.29	0.0	0.0	0.0	77	4	0.0	0.0	0.0	0
40	0	406.681	160.174	428.017	160.217	Billing	0.0	0.27	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
41	0	430.241	160.174	450.241	160.217	Cycle	0.0	0.27	0.0	0.0	0.0	32	5	0.0	0.0	0.0	0
42	0	457.92	160.174	479.256	160.217	Billing	0.0	0.2	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
43	0	481.48	160.174	513.936	160.217	Calendar	0.0	0.19	0.0	0.0	0.0	48	8	0.0	0.0	0.0	0
44	0	536.4	160.174	578.192	160.217	Cash/Trade	0.0	0.2	0.0	0.0	0.0	150	10	0.0	0.0	0.0	0
45	0	406.681	172.174	444.465	172.217	EOM/EOC	0.0	0.21	0.0	0.0	0.0	43	7	0.0	0.0	0.0	0
46	0	457.92	172.174	493.936	172.217	Broadcast	0.0	0.33	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
47	0	536.4	172.174	555.072	172.217	Cash	0.0	0.29	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
48	0	90.0	177.871	136.494	177.92	NATIONAL	0.0	0.18	0.0	0.0	0.0	213	8	0.0	0.0	0.0	0
49	0	138.996	177.871	167.994	177.92	MEDIA	0.0	0.18	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
50	0	406.5	184.924	431.404	184.967	Station	0.0	0.24	0.0	0.0	0.0	57	7	0.0	0.0	0.0	0
51	0	457.92	184.924	486.824	184.967	Account	0.0	0.24	0.0	0.0	0.0	15	7	0.0	0.0	0.0	0
52	0	489.048	184.924	523.728	184.967	Executive	0.0	0.21	0.0	0.0	0.0	24	9	0.0	0.0	0.0	0
53	0	536.25	184.924	556.258	184.967	Sales	0.0	0.17	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
54	0	558.482	184.924	579.378	184.967	Office	0.0	0.22	0.0	0.0	0.0	12	6	0.0	0.0	0.0	0
55	0	90.0	188.371	105.012	188.42	815	0.0	0.24	0.0	0.0	0.67	0	3	1.0	1.0	6.7044144	0
56	0	107.514	188.371	149.517	188.42	SLATERS	0.0	0.29	0.0	0.0	0.0	541	7	0.0	0.0	0.0	0
57	0	152.019	188.371	176.517	188.42	LANE	0.0	0.29	0.0	0.0	0.0	470	4	0.0	0.0	0.0	0
58	0	90.0	198.871	151.497	198.92	ALEXANDRIA,	0.0	0.17	0.0	0.0	0.0	220	11	0.0	0.0	0.0	0
59	0	171.504	198.871	196.524	198.92	22314	0.0	0.36	0.0	0.0	0.71	0	5	1.0	1.0	10.013015	0
60	0	406.5	197.164	425.604	197.208	WRC	0.0	0.67	0.0	0.0	0.0	954	3	0.0	0.0	0.0	advertiser
61	0	457.92	196.924	477.928	196.967	Kaitie	0.0	0.33	0.0	0.0	0.0	998	6	0.0	0.0	0.0	0
62	0	480.152	196.924	509.048	196.967	Conway	0.0	0.22	0.0	0.0	0.0	973	6	0.0	0.0	0.0	0
63	0	536.25	196.924	578.49	196.967	Washington	0.0	0.27	0.0	0.0	0.0	97	10	0.0	0.0	0.0	0
64	0	594.49	196.924	613.61	196.967	Local	0.0	0.25	0.0	0.0	0.0	286	5	0.0	0.0	0.0	0
65	0	406.562	209.674	432.794	209.717	Special	0.0	0.2	0.0	0.0	0.0	104	7	0.0	0.0	0.0	0
66	0	435.018	209.674	466.586	209.717	Handling	0.0	0.18	0.0	0.0	0.0	116	8	0.0	0.0	0.0	0
67	0	406.562	234.424	454.13	234.467	Demographic	0.0	0.29	0.0	0.0	0.0	40	11	0.0	0.0	0.0	0
68	0	406.321	246.424	435.225	246.467	RA3564	0.0	0.22	0.0	0.0	0.0	407	6	0.6666667	0.0	0.0	0
69	0	536.25	259.174	554.034	259.217	Total	0.0	0.27	0.0	0.0	0.0	106	5	0.0	0.0	0.0	0
70	0	556.258	259.174	583.378	259.217	Ratings	0.0	0.4	0.0	0.0	0.0	749	7	0.0	0.0	0.0	0
71	0	536.25	271.174	560.714	271.217	185.90	0.0	0.25	0.0	0.0	0.53	0	6	0.8333333	1.0	5.2305737	0
72	0	406.5	283.924	424.284	283.967	IDB#	0.0	0.2	0.0	0.0	0.0	171	4	0.0	0.0	0.0	0
73	0	457.92	283.924	493.928	283.967	Advertiser	0.0	0.24	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
74	0	496.152	283.924	515.272	283.967	Code	0.0	0.29	0.0	0.0	0.0	19	4	0.0	0.0	0.0	0
75	0	536.25	283.924	563.818	283.967	Product	0.0	0.4	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
76	0	566.042	283.924	585.162	283.967	Code	0.0	0.29	0.0	0.0	0.0	19	4	0.0	0.0	0.0	0
77	0	536.25	295.924	549.594	295.967	446	0.0	0.33	0.0	0.0	0.53	0	3	1.0	1.0	6.1025586	0
78	0	406.5	308.674	433.18	308.717	Agency	0.0	0.44	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
79	0	435.404	308.674	447.852	308.717	Ref	0.0	0.33	0.0	0.0	0.0	63	3	0.0	0.0	0.0	0
80	0	497.251	308.674	533.259	308.717	Advertiser	0.0	0.18	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
81	0	535.483	308.674	547.931	308.717	Ref	0.0	0.33	0.0	0.0	0.0	63	3	0.0	0.0	0.0	0
82	0	406.5	320.674	428.74	320.717	46220	0.0	0.18	0.0	0.0	0.59	0	5	1.0	1.0	10.74119	0
83	0	497.251	320.674	519.491	320.717	99585	0.0	0.19	0.0	0.0	0.47	0	5	1.0	1.0	11.508777	0
84	0	401.25	341.011	426.765	341.059	Spots/	0.0	0.25	0.0	0.0	0.0	4	6	0.0	0.0	0.0	0
85	0	20.251	352.261	41.759	353.151	*Line	0.0	0.4	0.0	0.0	0.0	89	5	0.0	0.0	0.0	0
86	0	69.749	352.261	88.757	352.309	Start	0.0	0.27	0.0	0.0	0.0	26	5	0.0	0.0	0.0	0
87	0	91.259	352.261	128.512	352.309	DateEnd	0.0	0.27	0.0	0.0	0.0	144	7	0.0	0.0	0.0	0
88	0	131.014	352.261	150.022	352.309	Date	0.0	0.22	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
89	0	155.251	352.261	200.26	352.309	Description	0.0	0.29	0.0	0.0	0.0	62	11	0.0	0.0	0.0	0
90	0	260.252	352.261	297.773	352.309	Start/End	0.0	0.33	0.0	0.0	0.0	35	9	0.0	0.0	0.0	0
91	0	300.275	352.261	320.273	352.309	Time	0.0	0.25	0.0	0.0	0.0	22	4	0.0	0.0	0.0	0
92	0	333.751	352.261	354.253	352.309	Days	0.0	0.2	0.0	0.0	0.0	38	4	0.0	0.0	0.0	0
93	0	369.0	352.261	396.522	352.309	Length	0.0	0.22	0.0	0.0	0.0	56	6	0.0	0.0	0.0	0
94	0	401.25	352.261	424.254	352.309	Week	0.0	0.29	0.0	0.0	0.0	29	4	0.0	0.0	0.0	0
95	0	444.75	352.261	463.758	352.309	Rate	0.0	0.4	0.0	0.0	0.0	13	4	0.0	0.0	0.0	0
96	0	469.44	352.321	483.444	352.369	Rtn	0.0	0.67	0.0	0.0	0.0	475	3	0.0	0.0	0.0	advertiser
97	0	489.002	352.261	533.014	352.309	TypeSpots	0.0	0.27	0.0	0.0	0.0	158	9	0.0	0.0	0.0	0
98	0	558.751	352.261	589.765	352.309	Amount	0.0	0.29	0.0	0.0	0.0	25	6	0.0	0.0	0.0	0
99	0	45.0	364.924	64.104	364.967	WRC	0.0	0.67	0.0	0.0	0.0	954	3	0.0	0.0	0.0	advertiser
100	0	71.249	364.924	102.385	364.967	08/18/12	0.0	0.29	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
101	0	113.25	364.924	144.386	364.967	08/24/12	0.0	0.18	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
102	0	155.251	364.924	172.147	364.967	5-6A	0.0	0.17	0.0	0.0	0.0	16	4	0.5	0.0	0.0	0
103	0	174.371	364.924	202.819	364.967	NEWS4	0.0	0.25	0.0	0.0	0.0	17	5	0.2	0.0	0.0	0
104	0	205.043	364.924	229.611	364.967	@5AM	0.0	0.17	0.0	0.0	0.0	73	4	0.25	0.0	0.0	0
105	0	260.252	364.924	282.484	364.967	5A-6A	0.0	0.15	0.0	0.0	0.0	84	5	0.4	0.0	0.0	0
106	0	386.371	364.924	397.491	364.967	:30	0.0	0.25	0.0	0.0	0.0	0	3	0.6666667	0.0	0.0	0
107	0	556.889	364.924	592.473	364.967	$4,500.00	0.0	0.13	0.0	0.0	0.75	0	9	0.6666667	1.0	8.412055	0
108	0	45.0	376.924	53.888	376.967	All	0.0	0.15	0.0	0.0	0.0	247	3	0.0	0.0	0.0	0
109	0	56.112	376.924	75.232	376.967	spots	0.0	0.2	0.0	0.0	0.0	4	5	0.0	0.0	0.0	0
110	0	88.576	376.924	107.248	376.967	order	0.0	0.25	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
111	0	109.472	376.924	152.144	376.967	immediately	0.0	0.13	0.0	0.0	0.0	458	11	0.0	0.0	0.0	0
112	0	154.368	376.924	196.16	376.967	preemptible	0.0	0.21	0.0	0.0	0.0	389	11	0.0	0.0	0.0	0
