	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	18.0	25.174	48.232	25.217	Contract	0.0	0.18	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	50.456	25.174	89.584	25.217	Agreement	0.0	0.22	0.0	0.0	0.0	115	9	0.0	0.0	0.0	0
2	0	91.808	25.174	125.16	25.217	Between:	0.0	0.22	0.0	0.0	0.0	120	8	0.0	0.0	0.0	0
3	0	429.272	25.174	445.72	25.217	Print	0.0	0.27	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
4	0	447.944	25.174	464.84	25.217	Date	0.0	0.27	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
5	0	474.001	25.174	505.137	25.217	08/30/12	0.0	0.22	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
6	0	533.251	25.174	551.931	25.217	Page	0.0	0.23	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
7	0	261.18	41.705	350.94	41.794	CONTRACT	0.0	0.17	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
8	0	119.999	63.207	149.439	63.262	WBTV	0.0	0.17	0.0	0.0	0.0	1249	4	0.0	0.0	0.0	0
9	0	406.681	60.424	436.913	60.467	Contract	0.0	0.18	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
10	0	443.585	60.424	474.257	60.467	Revision	0.0	0.23	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
11	0	495.842	60.424	505.178	60.467	Alt	0.0	0.3	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
12	0	507.402	60.424	527.85	60.467	Order	0.0	0.3	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
13	0	119.999	75.207	139.449	75.262	One	0.0	0.3	0.0	0.0	0.0	778	3	0.0	0.0	0.0	0
14	0	142.229	75.207	171.129	75.262	Julian	0.0	0.3	0.0	0.0	0.0	1400	6	0.0	0.0	0.0	0
15	0	173.909	75.207	198.369	75.262	Price	0.0	0.3	0.0	0.0	0.0	295	5	0.0	0.0	0.0	0
16	0	201.149	75.207	227.279	75.262	Place	0.0	0.3	0.0	0.0	0.0	300	5	0.0	0.0	0.0	0
17	0	417.001	72.424	443.689	72.467	815069	0.0	0.24	0.0	0.0	0.5	0	6	1.0	1.0	13.61103	0
18	0	495.842	72.424	531.426	72.467	06300796	0.0	0.25	0.0	0.0	0.59	0	8	1.0	1.0	15.656187	0
19	0	119.999	87.207	166.669	87.262	Charlotte,	0.0	0.38	0.0	0.0	0.0	674	10	0.0	0.0	0.0	0
20	0	189.449	87.207	217.249	87.262	28208	0.0	0.38	0.0	0.0	0.8	0	5	1.0	1.0	10.247396	0
21	0	309.002	85.924	336.57	85.967	Product	0.0	0.38	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
22	0	119.999	99.207	143.339	99.262	(704)	0.0	0.3	0.0	0.0	0.0	0	5	0.6	0.0	0.0	0
23	0	146.119	99.207	188.369	99.262	374-3500	0.0	0.43	0.0	0.0	0.0	0	8	0.875	0.0	0.0	0
24	0	320.396	98.164	337.292	98.208	OPS	0.0	0.67	0.0	0.0	0.0	4563	3	0.0	0.0	0.0	0
25	0	339.516	98.164	367.524	98.208	OPSEC	0.0	0.67	0.0	0.0	0.0	7244	5	0.0	0.0	0.0	0
26	0	383.084	98.164	405.3	98.208	FUND	0.0	0.67	0.0	0.0	0.0	1040	4	0.0	0.0	0.0	0
27	0	308.251	110.674	338.483	110.717	Contract	0.0	0.47	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
28	0	340.707	110.674	361.603	110.717	Dates	0.0	0.29	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
29	0	407.251	110.674	438.371	110.717	Estimate	0.0	0.24	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
30	0	308.251	122.914	339.387	122.958	09/02/12	0.0	0.2	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
31	0	346.499	122.914	377.635	122.958	09/05/12	0.0	0.18	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
32	0	407.251	122.914	420.595	122.958	931	0.0	0.3	0.0	0.0	0.46	0	3	1.0	1.0	6.8373327	0
33	0	309.002	135.424	345.01	135.467	Advertiser	0.0	0.32	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
34	0	484.501	135.424	512.061	135.467	Original	0.0	0.37	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
35	0	514.285	135.424	531.181	135.467	Date	0.0	0.37	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
36	0	537.853	135.424	568.525	135.467	Revision	0.0	0.53	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
37	0	309.002	147.664	359.698	147.708	Issue/Special	0.0	0.83	0.0	0.0	0.0	13678	13	0.0	0.0	0.0	0
38	0	361.922	147.664	377.482	147.708	Ops	0.0	0.86	0.0	0.0	0.0	4563	3	0.0	0.0	0.0	advertiser
39	0	379.706	147.664	407.714	147.708	OPSEC	0.0	0.86	0.0	0.0	0.0	7244	5	0.0	0.0	0.0	advertiser
40	0	409.938	147.664	448.61	147.708	Education	0.0	0.86	0.0	0.0	0.0	3419	9	0.0	0.0	0.0	advertiser
41	0	450.834	147.664	470.386	147.708	Fund	0.0	0.86	0.0	0.0	0.0	1040	4	0.0	0.0	0.0	advertiser
42	0	491.041	147.424	522.177	147.467	08/29/12	0.0	0.67	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
43	0	544.665	147.424	575.801	147.467	08/29/12	0.0	0.16	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
44	0	18.0	157.174	34.456	157.217	And:	0.0	0.19	0.0	0.0	0.0	77	4	0.0	0.0	0.0	0
45	0	406.681	160.174	428.017	160.217	Billing	0.0	0.25	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
46	0	430.241	160.174	450.241	160.217	Cycle	0.0	0.34	0.0	0.0	0.0	32	5	0.0	0.0	0.0	0
47	0	457.92	160.174	479.256	160.217	Billing	0.0	0.34	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
48	0	481.48	160.174	513.936	160.217	Calendar	0.0	0.39	0.0	0.0	0.0	48	8	0.0	0.0	0.0	0
49	0	536.4	160.174	578.192	160.217	Cash/Trade	0.0	0.39	0.0	0.0	0.0	150	10	0.0	0.0	0.0	0
50	0	406.681	172.174	444.465	172.217	EOM/EOC	0.0	0.34	0.0	0.0	0.0	43	7	0.0	0.0	0.0	0
51	0	457.92	172.174	493.936	172.217	Broadcast	0.0	0.32	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
52	0	536.4	172.174	555.072	172.217	Cash	0.0	0.37	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
