	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	18.0	17.963	48.232	26.899	Contract	0.0	0.35	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	50.456	17.963	89.584	26.899	Agreement	0.0	0.34	0.0	0.0	0.0	115	9	0.0	0.0	0.0	0
2	0	91.808	17.963	125.16	26.899	Between:	0.0	0.34	0.0	0.0	0.0	120	8	0.0	0.0	0.0	0
3	0	429.272	17.963	445.72	26.899	Print	0.0	0.34	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
4	0	447.944	17.963	464.84	26.899	Date	0.0	0.34	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
5	0	474.001	17.963	505.137	26.899	08/29/12	0.0	0.25	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
6	0	533.251	17.963	551.931	26.899	Page	0.0	0.21	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
7	0	261.18	27.283	350.94	45.155	CONTRACT	0.0	0.46	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
8	0	119.999	54.193	164.439	65.363	KUSA-TV	0.0	0.42	0.0	0.0	0.0	913	7	0.0	0.0	0.0	0
9	0	406.681	53.213	436.913	62.149	Contract	0.0	0.35	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
10	0	443.585	53.213	474.257	62.149	Revision	0.0	0.39	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
11	0	495.842	53.213	505.178	62.149	Alt	0.0	0.43	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
12	0	507.402	53.213	527.85	62.149	Order	0.0	0.43	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
13	0	119.999	66.193	136.679	77.363	500	0.0	0.37	0.0	0.0	0.71	0	3	1.0	1.0	6.216606	0
14	0	139.459	66.193	167.249	77.363	Speer	0.0	0.28	0.0	0.0	0.0	502	5	0.0	0.0	0.0	0
15	0	170.029	66.193	194.479	77.363	Blvd.	0.0	0.16	0.0	0.0	0.0	365	5	0.0	0.0	0.0	0
16	0	417.001	65.213	443.689	74.149	707485	0.0	0.13	0.0	0.0	0.47	0	6	1.0	1.0	13.469473	0
17	0	495.842	65.213	531.426	74.149	06284916	0.0	0.19	0.0	0.0	0.44	0	8	1.0	1.0	15.653664	0
18	0	119.999	78.193	156.679	89.363	Denver,	0.0	0.25	0.0	0.0	0.0	359	7	0.0	0.0	0.0	0
19	0	180.019	78.193	207.819	89.363	80203	0.0	0.22	0.0	0.0	0.62	0	5	1.0	1.0	11.292329	0
20	0	309.002	78.713	336.57	87.649	Product	0.0	0.37	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
21	0	119.999	90.193	185.589	101.363	(866)858-5322	0.0	0.7	0.0	0.0	0.0	0	13	0.7692308	0.0	0.0	0
22	0	307.5	90.953	337.716	99.889	OBAMA	0.0	1.0	0.0	0.0	0.0	333	5	0.0	0.0	0.0	advertiser
23	0	339.94	90.953	356.828	99.889	FOR	0.0	1.0	0.0	0.0	0.0	50	3	0.0	0.0	0.0	advertiser
24	0	359.052	90.953	396.38	99.889	AMERICA	0.0	1.0	0.0	0.0	0.0	201	7	0.0	0.0	0.0	advertiser
25	0	308.251	103.463	338.483	112.399	Contract	0.0	0.79	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
26	0	340.707	103.463	361.603	112.399	Dates	0.0	0.53	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
27	0	407.251	103.463	438.371	112.399	Estimate	0.0	0.33	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
28	0	18.0	114.067	67.208	123.123	www.9news.com	0.0	0.24	0.0	0.0	0.0	910	13	0.07692308	0.0	0.0	0
29	0	308.251	115.703	339.387	124.639	08/25/12	0.0	0.18	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
30	0	346.499	115.703	377.635	124.639	09/03/12	0.0	0.22	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
31	0	407.251	115.703	425.043	124.639	1620	0.0	0.28	0.0	0.0	0.67	0	4	1.0	1.0	7.3907986	0
32	0	309.002	128.213	345.01	137.149	Advertiser	0.0	0.32	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
33	0	484.501	128.213	512.061	137.149	Original	0.0	0.33	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
34	0	514.285	128.213	531.181	137.149	Date	0.0	0.36	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
35	0	537.853	128.213	568.525	137.149	Revision	0.0	0.4	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
36	0	309.002	140.453	382.802	149.389	Obama/D/President	0.0	0.5	0.0	0.0	0.0	631	17	0.0	0.0	0.0	0
37	0	491.041	140.213	522.177	149.149	08/17/12	0.0	0.4	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
38	0	544.665	140.213	575.801	149.149	08/28/12	0.0	0.33	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
39	0	18.0	149.963	34.456	158.899	And:	0.0	0.16	0.0	0.0	0.0	77	4	0.0	0.0	0.0	0
40	0	406.681	152.963	428.017	161.899	Billing	0.0	0.24	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
41	0	430.241	152.963	450.241	161.899	Cycle	0.0	0.27	0.0	0.0	0.0	32	5	0.0	0.0	0.0	0
42	0	457.92	152.963	479.256	161.899	Billing	0.0	0.3	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
43	0	481.48	152.963	513.936	161.899	Calendar	0.0	0.33	0.0	0.0	0.0	48	8	0.0	0.0	0.0	0
44	0	536.4	152.963	578.192	161.899	Cash/Trade	0.0	0.35	0.0	0.0	0.0	150	10	0.0	0.0	0.0	0
45	0	406.681	164.963	440.025	173.899	WEEKLY	0.0	0.35	0.0	0.0	0.0	566	6	0.0	0.0	0.0	0
46	0	457.92	164.963	493.936	173.899	Broadcast	0.0	0.36	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
47	0	536.4	164.963	555.072	173.899	Cash	0.0	0.36	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
48	0	90.0	169.758	114.012	179.811	Greer	0.0	0.36	0.0	0.0	0.0	449	5	0.0	0.0	0.0	0
49	0	116.514	169.758	153.522	179.811	Margolis	0.0	0.35	0.0	0.0	0.0	410	8	0.0	0.0	0.0	0
50	0	156.024	169.758	192.033	179.811	Mitchell/	0.0	0.31	0.0	0.0	0.0	421	9	0.0	0.0	0.0	0
51	0	194.535	169.758	208.539	179.811	Pol	0.0	0.29	0.0	0.0	0.0	103	3	0.0	0.0	0.0	0
52	0	90.0	180.258	110.016	190.311	3050	0.0	0.26	0.0	0.0	0.67	0	4	1.0	1.0	8.023225	0
53	0	406.5	177.713	431.404	186.649	Station	0.0	0.26	0.0	0.0	0.0	57	7	0.0	0.0	0.0	0
54	0	457.92	177.713	486.824	186.649	Account	0.0	0.26	0.0	0.0	0.0	15	7	0.0	0.0	0.0	0
55	0	489.048	177.713	523.728	186.649	Executive	0.0	0.26	0.0	0.0	0.0	24	9	0.0	0.0	0.0	0
56	0	536.25	177.713	556.258	186.649	Sales	0.0	0.31	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
57	0	558.482	177.713	579.378	186.649	Office	0.0	0.38	0.0	0.0	0.0	12	6	0.0	0.0	0.0	0
58	0	90.0	190.758	144.0	200.811	Washington,	0.0	0.31	0.0	0.0	0.0	97	11	0.0	0.0	0.0	0
59	0	164.502	190.758	189.522	200.811	20007	0.0	0.4	0.0	0.0	0.5	0	5	1.0	1.0	9.903888	0
60	0	406.5	189.953	429.164	198.889	KUSA	0.0	0.47	0.0	0.0	0.0	819	4	0.0	0.0	0.0	0
61	0	457.92	189.713	475.696	198.649	Mary	0.0	0.47	0.0	0.0	0.0	609	4	0.0	0.0	0.0	0
62	0	477.92	189.713	499.248	198.649	Tricoli	0.0	0.47	0.0	0.0	0.0	636	7	0.0	0.0	0.0	0
63	0	536.25	189.713	563.37	198.649	Telerep	0.0	0.38	0.0	0.0	0.0	532	7	0.0	0.0	0.0	0
64	0	565.594	189.713	609.17	198.649	Philadelphia	0.0	0.31	0.0	0.0	0.0	217	12	0.0	0.0	0.0	0
65	0	406.562	202.463	432.794	211.399	Special	0.0	0.26	0.0	0.0	0.0	104	7	0.0	0.0	0.0	0
66	0	435.018	202.463	466.586	211.399	Handling	0.0	0.3	0.0	0.0	0.0	116	8	0.0	0.0	0.0	0
67	0	406.562	227.213	454.13	236.149	Demographic	0.0	0.38	0.0	0.0	0.0	40	11	0.0	0.0	0.0	0
68	0	406.321	239.213	428.553	248.149	Adults	0.0	0.38	0.0	0.0	0.0	192	6	0.0	0.0	0.0	0
69	0	430.777	239.213	444.345	248.149	35+	0.0	0.34	0.0	0.0	0.0	0	3	0.6666667	0.0	0.0	0
70	0	406.5	276.713	424.284	285.649	IDB#	0.0	0.36	0.0	0.0	0.0	171	4	0.0	0.0	0.0	0
71	0	457.92	276.713	493.928	285.649	Advertiser	0.0	0.36	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
72	0	496.152	276.713	515.272	285.649	Code	0.0	0.36	0.0	0.0	0.0	19	4	0.0	0.0	0.0	0
73	0	536.25	276.713	563.818	285.649	Product	0.0	0.3	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
74	0	566.042	276.713	585.162	285.649	Code	0.0	0.27	0.0	0.0	0.0	19	4	0.0	0.0	0.0	0
75	0	536.25	288.713	549.594	297.649	101	0.0	0.27	0.0	0.0	0.57	0	3	1.0	1.0	4.624973	0
76	0	406.5	301.463	433.18	310.399	Agency	0.0	0.29	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
77	0	435.404	301.463	447.852	310.399	Ref	0.0	0.29	0.0	0.0	0.0	63	3	0.0	0.0	0.0	0
78	0	497.251	301.463	533.259	310.399	Advertiser	0.0	0.32	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
79	0	535.483	301.463	547.931	310.399	Ref	0.0	0.29	0.0	0.0	0.0	63	3	0.0	0.0	0.0	0
80	0	401.25	332.898	426.765	342.951	Spots/	0.0	0.24	0.0	0.0	0.0	4	6	0.0	0.0	0.0	0
81	0	20.251	344.083	41.759	355.253	*Line	0.0	0.21	0.0	0.0	0.0	89	5	0.0	0.0	0.0	0
82	0	69.749	344.148	88.757	354.201	Start	0.0	0.29	0.0	0.0	0.0	26	5	0.0	0.0	0.0	0
83	0	91.259	344.148	128.512	354.201	DateEnd	0.0	0.29	0.0	0.0	0.0	144	7	0.0	0.0	0.0	0
84	0	131.014	344.148	150.022	354.201	Date	0.0	0.29	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
85	0	155.251	344.148	200.26	354.201	Description	0.0	0.29	0.0	0.0	0.0	62	11	0.0	0.0	0.0	0
86	0	260.252	344.148	297.773	354.201	Start/End	0.0	0.31	0.0	0.0	0.0	35	9	0.0	0.0	0.0	0
87	0	300.275	344.148	320.273	354.201	Time	0.0	0.31	0.0	0.0	0.0	22	4	0.0	0.0	0.0	0
88	0	333.751	344.148	354.253	354.201	Days	0.0	0.31	0.0	0.0	0.0	38	4	0.0	0.0	0.0	0
89	0	369.0	344.148	396.522	354.201	Length	0.0	0.26	0.0	0.0	0.0	56	6	0.0	0.0	0.0	0
90	0	401.25	344.148	424.254	354.201	Week	0.0	0.31	0.0	0.0	0.0	29	4	0.0	0.0	0.0	0
91	0	444.75	344.148	463.758	354.201	Rate	0.0	0.36	0.0	0.0	0.0	13	4	0.0	0.0	0.0	0
92	0	469.44	344.208	483.444	354.261	Rtn	0.0	0.36	0.0	0.0	0.0	475	3	0.0	0.0	0.0	0
93	0	489.002	344.148	533.014	354.201	TypeSpots	0.0	0.27	0.0	0.0	0.0	158	9	0.0	0.0	0.0	0
94	0	558.751	344.148	589.765	354.201	Amount	0.0	0.29	0.0	0.0	0.0	25	6	0.0	0.0	0.0	0
95	0	45.0	357.713	66.784	366.649	KUSA	0.0	0.22	0.0	0.0	0.0	819	4	0.0	0.0	0.0	0
96	0	71.249	357.713	102.385	366.649	08/27/12	0.0	0.15	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
97	0	113.25	357.713	144.386	366.649	08/31/12	0.0	0.15	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
98	0	155.251	357.713	170.819	366.649	Late	0.0	0.21	0.0	0.0	0.0	114	4	0.0	0.0	0.0	0
99	0	173.043	357.713	193.043	366.649	News	0.0	0.18	0.0	0.0	0.0	17	4	0.0	0.0	0.0	0
100	0	195.267	357.713	219.707	366.649	(M-Su)	0.0	0.18	0.0	0.0	0.0	215	6	0.0	0.0	0.0	0
101	0	260.252	357.713	279.364	366.649	M-Su	0.0	0.18	0.0	0.0	0.0	215	4	0.0	0.0	0.0	0
