	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	408.002	25.174	424.45	25.217	Print	0.0	0.25	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
1	0	426.674	25.174	443.57	25.217	Date	0.0	0.25	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
2	0	450.0	25.174	481.136	25.217	10/29/12	0.0	0.19	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
3	0	483.36	25.174	514.496	25.217	09:03:23	0.0	0.15	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
4	0	534.002	25.174	552.682	25.217	Page	0.0	0.21	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
5	0	276.84	43.205	334.616	43.294	ORDER	0.0	0.52	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
6	0	18.0	79.414	44.232	79.458	Orders	0.0	0.41	0.0	0.0	0.0	54	6	0.0	0.0	0.0	0
7	0	87.001	79.414	108.785	79.458	Order	0.0	0.4	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
8	0	115.457	79.414	132.793	79.458	Rev:	0.0	0.32	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
9	0	171.72	79.414	198.408	79.458	169756	0.0	0.34	0.0	0.0	0.35	0	6	1.0	1.0	12.042123	0
10	0	87.001	94.174	96.337	94.217	Alt	0.0	0.43	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
11	0	98.561	94.174	119.009	94.217	Order	0.0	0.43	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
12	0	171.751	94.174	207.335	94.217	06868720	0.0	0.3	0.0	0.0	0.67	0	8	1.0	1.0	15.742489	0
13	0	87.001	109.174	114.569	109.217	Product	0.0	0.36	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
14	0	116.793	109.174	137.241	109.217	Desc:	0.0	0.38	0.0	0.0	0.0	141	5	0.0	0.0	0.0	0
15	0	171.751	109.174	204.647	109.217	BARACK	0.0	0.48	0.0	0.0	0.0	1442	6	0.0	0.0	0.0	0
16	0	206.871	109.174	235.767	109.217	OBAMA	0.0	0.5	0.0	0.0	0.0	333	5	0.0	0.0	0.0	0
17	0	237.991	109.174	252.223	109.217	60S	0.0	0.44	0.0	0.0	0.0	49	3	0.6666667	0.0	0.0	0
18	0	87.001	124.174	120.345	124.217	Estimate:	0.0	0.44	0.0	0.0	0.0	23	9	0.0	0.0	0.0	0
19	0	171.751	124.174	189.543	124.217	2272	0.0	0.39	0.0	0.0	0.53	0	4	1.0	1.0	7.7288556	0
20	0	432.0	122.914	468.448	122.958	KSTP-TV,	0.0	0.21	0.0	0.0	0.0	1058	8	0.0	0.0	0.0	0
21	0	470.672	122.914	486.224	122.958	LLC	0.0	0.21	0.0	0.0	0.0	317	3	0.0	0.0	0.0	0
22	0	488.448	122.914	502.672	122.958	and	0.0	0.27	0.0	0.0	0.0	77	3	0.0	0.0	0.0	0
23	0	504.896	122.914	542.232	122.958	KSAX-TV,	0.0	0.27	0.0	0.0	0.0	1065	8	0.0	0.0	0.0	0
24	0	544.456	122.914	558.24	122.958	Inc.	0.0	0.27	0.0	0.0	0.0	166	4	0.0	0.0	0.0	0
25	0	87.001	139.174	106.561	139.217	Flight	0.0	0.22	0.0	0.0	0.0	61	6	0.0	0.0	0.0	0
26	0	108.785	139.174	131.905	139.217	Dates:	0.0	0.19	0.0	0.0	0.0	18	6	0.0	0.0	0.0	0
27	0	171.751	139.174	202.887	139.217	10/27/12	0.0	0.15	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
28	0	209.999	139.174	241.135	139.217	11/06/12	0.0	0.32	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
29	0	331.501	139.174	359.053	139.217	Primary	0.0	0.4	0.0	0.0	0.0	80	7	0.0	0.0	0.0	0
30	0	361.277	139.174	374.173	139.217	AE:	0.0	0.4	0.0	0.0	0.0	123	3	0.0	0.0	0.0	0
31	0	432.0	139.174	449.784	139.217	Anjie	0.0	0.4	0.0	0.0	0.0	1446	5	0.0	0.0	0.0	0
32	0	452.008	139.174	472.904	139.217	Brady	0.0	0.38	0.0	0.0	0.0	804	5	0.0	0.0	0.0	0
33	0	87.001	154.174	114.561	154.217	Original	0.0	0.38	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
34	0	116.785	154.174	133.681	154.217	Date	0.0	0.38	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
35	0	140.353	154.174	156.801	154.217	Rev:	0.0	0.31	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
36	0	171.751	154.174	202.887	154.217	10/28/12	0.0	0.19	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
37	0	209.559	154.174	240.695	154.217	10/29/12	0.0	0.23	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
38	0	331.501	154.174	351.509	154.217	Sales	0.0	0.32	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
39	0	353.733	154.174	376.853	154.217	Office:	0.0	0.38	0.0	0.0	0.0	12	7	0.0	0.0	0.0	0
40	0	432.0	154.414	455.56	154.457	P-PHL	0.0	0.38	0.0	0.0	0.0	939	5	0.0	0.0	0.0	0
41	0	87.001	169.174	107.449	169.217	Order	0.0	0.4	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
42	0	109.673	169.174	129.681	169.217	Type:	0.0	0.32	0.0	0.0	0.0	45	5	0.0	0.0	0.0	0
43	0	171.751	169.174	209.983	169.217	GENERAL	0.0	0.31	0.0	0.0	0.0	138	7	0.0	0.0	0.0	0
44	0	331.501	169.174	351.509	169.217	Sales	0.0	0.29	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
45	0	353.733	169.174	381.301	169.217	Region:	0.0	0.33	0.0	0.0	0.0	69	7	0.0	0.0	0.0	0
46	0	432.0	169.414	461.344	169.457	National	0.0	0.36	0.0	0.0	0.0	213	8	0.0	0.0	0.0	0
47	0	18.0	199.414	46.896	199.458	Agency	0.0	0.36	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
48	0	87.001	199.414	111.449	199.458	Name:	0.0	0.36	0.0	0.0	0.0	110	5	0.0	0.0	0.0	0
49	0	171.72	199.414	193.064	199.458	Greer	0.0	0.36	0.0	0.0	0.0	449	5	0.0	0.0	0.0	0
50	0	195.288	199.414	228.184	199.458	Margolis	0.0	0.35	0.0	0.0	0.0	410	8	0.0	0.0	0.0	0
51	0	238.408	199.414	268.192	199.458	Mitchell	0.0	0.32	0.0	0.0	0.0	421	8	0.0	0.0	0.0	0
52	0	87.001	214.174	111.457	214.217	Buying	0.0	0.32	0.0	0.0	0.0	67	6	0.0	0.0	0.0	0
53	0	113.681	214.174	143.473	214.217	Contact:	0.0	0.26	0.0	0.0	0.0	79	8	0.0	0.0	0.0	0
54	0	331.501	214.174	352.837	214.217	Billing	0.0	0.26	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
55	0	355.061	214.174	375.069	214.217	Type:	0.0	0.26	0.0	0.0	0.0	45	5	0.0	0.0	0.0	0
56	0	432.0	214.174	450.672	214.217	Cash	0.0	0.26	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
57	0	87.001	229.174	108.337	229.217	Billing	0.0	0.22	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
58	0	110.561	229.174	140.353	229.217	Contact:	0.0	0.26	0.0	0.0	0.0	79	8	0.0	0.0	0.0	0
59	0	331.501	229.174	352.837	229.217	Billing	0.0	0.26	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
60	0	355.061	229.174	389.741	229.217	Calendar:	0.0	0.26	0.0	0.0	0.0	48	9	0.0	0.0	0.0	0
61	0	432.0	229.174	468.016	229.217	Broadcast	0.0	0.33	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
62	0	171.751	244.174	189.543	244.217	1010	0.0	0.29	0.0	0.0	0.67	0	4	1.0	1.0	6.9186954	0
63	0	191.767	244.174	228.215	244.217	Wisconsin	0.0	0.22	0.0	0.0	0.0	306	9	0.0	0.0	0.0	0
64	0	230.439	244.174	244.223	244.217	Ave	0.0	0.22	0.0	0.0	0.0	198	3	0.0	0.0	0.0	0
65	0	331.501	244.174	352.837	244.217	Billing	0.0	0.23	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
66	0	355.061	244.174	377.285	244.217	Cycle:	0.0	0.29	0.0	0.0	0.0	32	6	0.0	0.0	0.0	0
67	0	432.0	244.174	469.784	244.217	EOM/EOC	0.0	0.36	0.0	0.0	0.0	43	7	0.0	0.0	0.0	0
68	0	170.252	259.174	214.716	259.217	Washington,	0.0	0.23	0.0	0.0	0.0	97	11	0.0	0.0	0.0	0
69	0	232.94	259.174	275.636	259.217	20007-3674	0.0	0.19	0.0	0.0	0.0	0	10	0.9	0.0	0.0	0
70	0	331.501	259.174	358.181	259.217	Agency	0.0	0.29	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
71	0	360.405	259.174	406.629	259.217	Commission:	0.0	0.27	0.0	0.0	0.0	83	11	0.0	0.0	0.0	0
72	0	432.0	259.174	448.008	259.217	15%	0.0	0.3	0.0	0.0	0.0	0	3	0.6666667	0.0	0.0	0
73	0	18.0	289.414	57.568	289.458	Advertiser	0.0	0.42	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
74	0	87.001	289.414	111.449	289.458	Name:	0.0	0.86	0.0	0.0	0.0	110	5	0.0	0.0	0.0	0
75	0	171.72	289.414	198.84	289.458	Obama	0.0	1.0	0.0	0.0	0.0	333	5	0.0	0.0	0.0	advertiser
76	0	201.064	289.414	211.728	289.458	for	0.0	1.0	0.0	0.0	0.0	50	3	0.0	0.0	0.0	advertiser
77	0	213.952	289.414	245.52	289.458	America	0.0	1.0	0.0	0.0	0.0	201	7	0.0	0.0	0.0	advertiser
78	0	87.001	304.174	136.793	304.217	Demographic:	0.0	0.71	0.0	0.0	0.0	40	12	0.0	0.0	0.0	0
79	0	171.751	304.174	190.655	304.217	A35+	0.0	0.49	0.0	0.0	0.0	16	4	0.5	0.0	0.0	0
80	0	331.501	304.174	347.501	304.217	New	0.0	0.35	0.0	0.0	0.0	46	3	0.0	0.0	0.0	0
81	0	349.725	304.174	382.181	304.217	Business	0.0	0.29	0.0	0.0	0.0	131	8	0.0	0.0	0.0	0
82	0	384.405	304.174	403.077	304.217	Thru:	0.0	0.18	0.0	0.0	0.0	139	5	0.0	0.0	0.0	0
83	0	87.001	319.174	114.569	319.217	Product	0.0	0.28	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
84	0	116.793	319.174	142.137	319.217	Codes:	0.0	0.34	0.0	0.0	0.0	86	6	0.0	0.0	0.0	0
85	0	171.751	319.414	185.983	319.457	PL1	0.0	0.35	0.0	0.0	0.0	211	3	0.33333334	0.0	0.0	0
86	0	331.501	319.174	351.949	319.217	Order	0.0	0.4	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
87	0	354.173	319.174	395.085	319.217	Separation:	0.0	0.32	0.0	0.0	0.0	142	11	0.0	0.0	0.0	0
88	0	432.0	319.174	463.136	319.217	00:15:00	0.0	0.28	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
89	0	87.001	334.174	114.113	334.217	Priority:	0.0	0.34	0.0	0.0	0.0	96	9	0.0	0.0	0.0	0
90	0	331.501	334.174	367.509	334.217	Advertiser	0.0	0.34	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
91	0	369.733	334.174	399.077	334.217	External	0.0	0.33	0.0	0.0	0.0	134	8	0.0	0.0	0.0	0
92	0	401.301	334.174	411.525	334.217	ID:	0.0	0.28	0.0	0.0	0.0	119	3	0.0	0.0	0.0	0
93	0	87.001	349.174	119.017	349.217	Revenue	0.0	0.23	0.0	0.0	0.0	143	7	0.0	0.0	0.0	0
94	0	121.241	349.174	146.585	349.217	Codes:	0.0	0.3	0.0	0.0	0.0	86	6	0.0	0.0	0.0	0
95	0	171.751	349.174	190.871	349.217	AGY,	0.0	0.3	0.0	0.0	0.0	163	4	0.0	0.0	0.0	0
96	0	193.095	349.174	211.327	349.217	POL,	0.0	0.32	0.0	0.0	0.0	103	4	0.0	0.0	0.0	0
97	0	213.551	349.174	236.215	349.217	CAND	0.0	0.32	0.0	0.0	0.0	294	4	0.0	0.0	0.0	0
98	0	331.501	349.174	358.181	349.217	Agency	0.0	0.32	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
99	0	360.405	349.174	389.749	349.217	External	0.0	0.32	0.0	0.0	0.0	134	8	0.0	0.0	0.0	0
100	0	391.973	349.174	402.197	349.217	ID:	0.0	0.28	0.0	0.0	0.0	119	3	0.0	0.0	0.0	0
101	0	19.5	371.164	31.948	371.208	Bill	0.0	0.24	0.0	0.0	0.0	129	4	0.0	0.0	0.0	0
102	0	34.172	371.164	51.068	371.208	Plan	0.0	0.35	0.0	0.0	0.0	87	4	0.0	0.0	0.0	0
103	0	307.5	371.164	331.06	371.208	Totals	0.0	0.4	0.0	0.0	0.0	30	6	0.0	0.0	0.0	0
104	0	19.5	382.924	36.396	382.967	Start	0.0	0.4	0.0	0.0	0.0	26	5	0.0	0.0	0.0	0
105	0	38.62	382.924	55.516	382.967	Date	0.0	0.4	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
106	0	74.251	382.924	88.483	382.967	End	0.0	0.36	0.0	0.0	0.0	28	3	0.0	0.0	0.0	0
107	0	90.707	382.924	107.603	382.967	Date	0.0	0.26	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
108	0	139.844	382.924	160.3	382.967	Spots	0.0	0.29	0.0	0.0	0.0	4	5	0.0	0.0	0.0	0
109	0	166.502	382.924	187.838	382.967	Gross	0.0	0.34	0.0	0.0	0.0	20	5	0.0	0.0	0.0	0
110	0	190.062	382.924	217.63	382.967	Amount	0.0	0.34	0.0	0.0	0.0	25	6	0.0	0.0	0.0	0
111	0	231.721	382.924	244.169	382.967	Net	0.0	0.34	0.0	0.0	0.0	14	3	0.0	0.0	0.0	0
112	0	246.393	382.924	273.961	382.967	Amount	0.0	0.34	0.0	0.0	0.0	25	6	0.0	0.0	0.0	0
113	0	307.5	382.924	329.732	382.967	Month	0.0	0.31	0.0	0.0	0.0	52	5	0.0	0.0	0.0	0
114	0	397.422	382.924	417.878	382.967	Spots	0.0	0.29	0.0	0.0	0.0	4	5	0.0	0.0	0.0	0
115	0	435.18	382.924	456.516	382.967	Gross	0.0	0.34	0.0	0.0	0.0	20	5	0.0	0.0	0.0	0
116	0	458.74	382.924	486.308	382.967	Amount	0.0	0.39	0.0	0.0	0.0	25	6	0.0	0.0	0.0	0
117	0	502.681	382.924	515.129	382.967	Net	0.0	0.4	0.0	0.0	0.0	14	3	0.0	0.0	0.0	0
118	0	517.353	382.924	544.921	382.967	Amount	0.0	0.44	0.0	0.0	0.0	25	6	0.0	0.0	0.0	0
119	0	567.841	382.924	590.961	382.967	Rating	0.0	0.44	0.0	0.0	0.0	64	6	0.0	0.0	0.0	0
120	0	19.5	397.924	50.636	397.967	10/29/12	0.0	0.34	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
121	0	74.251	397.924	105.387	397.967	11/06/12	0.0	0.28	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
122	0	185.702	397.924	225.734	397.967	$82,300.00	0.0	0.19	0.0	0.0	1.0	0	10	0.7	1.0	11.318138	gross_amount
123	0	250.922	397.924	290.954	397.967	$69,955.00	0.0	0.24	0.0	0.0	0.38	0	10	0.7	1.0	11.155622	0
124	0	307.5	394.924	344.396	394.967	November	0.0	0.35	0.0	0.0	0.0	282	8	0.0	0.0	0.0	0
125	0	346.62	394.924	364.412	394.967	2012	0.0	0.3	0.0	0.0	0.67	0	4	1.0	1.0	7.6073813	0
126	0	450.45	394.924	490.482	394.967	$82,300.00	0.0	0.21	0.0	0.0	1.0	0	10	0.7	1.0	11.318138	gross_amount
127	0	514.68	394.924	554.712	394.967	$69,955.00	0.0	0.11	0.0	0.0	0.38	0	10	0.7	1.0	11.155622	0
128	0	577.95	394.924	593.518	394.967	0.00	0.0	0.16	0.0	0.0	0.67	0	4	0.75	1.0	0.0	0
129	0	306.0	408.414	327.784	408.457	Totals	0.0	0.19	0.0	0.0	0.0	30	6	0.0	0.0	0.0	0
130	0	450.45	407.674	490.482	407.717	$82,300.00	0.0	0.12	0.0	0.0	1.0	0	10	0.7	1.0	11.318138	gross_amount
131	0	514.68	407.674	554.712	407.717	$69,955.00	0.0	0.13	0.0	0.0	0.38	0	10	0.7	1.0	11.155622	0
132	0	577.95	407.674	593.518	407.717	0.00	0.0	0.17	0.0	0.0	0.67	0	4	0.75	1.0	0.0	0
133	0	19.5	425.634	51.5	425.678	Account	0.0	0.21	0.0	0.0	0.0	15	7	0.0	0.0	0.0	0
134	0	53.724	425.634	95.524	425.678	Executives	0.0	0.21	0.0	0.0	0.0	145	10	0.0	0.0	0.0	0
135	0	19.5	437.394	48.404	437.437	Account	0.0	0.24	0.0	0.0	0.0	15	7	0.0	0.0	0.0	0
136	0	50.628	437.394	85.308	437.437	Executive	0.0	0.25	0.0	0.0	0.0	24	9	0.0	0.0	0.0	0
137	0	128.999	437.394	149.007	437.437	Sales	0.0	0.32	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
138	0	151.231	437.394	172.127	437.437	Office	0.0	0.38	0.0	0.0	0.0	12	6	0.0	0.0	0.0	0
139	0	189.0	437.394	209.008	437.437	Sales	0.0	0.38	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
140	0	211.232	437.394	236.576	437.437	Region	0.0	0.31	0.0	0.0	0.0	69	6	0.0	0.0	0.0	0
141	0	254.251	437.394	271.147	437.437	Start	0.0	0.27	0.0	0.0	0.0	26	5	0.0	0.0	0.0	0
142	0	273.371	437.394	290.267	437.437	Date	0.0	0.27	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
143	0	296.939	437.394	311.171	437.437	End	0.0	0.37	0.0	0.0	0.0	28	3	0.0	0.0	0.0	0
144	0	313.395	437.394	330.291	437.437	Date	0.0	0.42	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
145	0	390.75	437.394	411.198	437.437	Order	0.0	0.42	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
146	0	19.5	452.394	37.284	452.437	Anjie	0.0	0.4	0.0	0.0	0.0	1446	5	0.0	0.0	0.0	0
147	0	39.508	452.394	60.404	452.437	Brady	0.0	0.39	0.0	0.0	0.0	804	5	0.0	0.0	0.0	0
148	0	254.251	452.394	271.147	452.437	Start	0.0	0.44	0.0	0.0	0.0	26	5	0.0	0.0	0.0	0
149	0	284.043	452.394	304.491	452.437	Order	0.0	0.55	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
150	0	311.603	452.394	325.835	452.437	End	0.0	0.48	0.0	0.0	0.0	28	3	0.0	0.0	0.0	0
151	0	338.731	452.394	359.179	452.437	Order	0.0	0.55	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
152	0	404.011	452.394	424.467	452.437	100%	0.0	0.46	0.0	0.0	0.0	0	4	0.75	0.0	0.0	0
153	0	19.5	472.884	41.284	472.928	Order	0.0	0.4	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
154	0	43.508	472.884	65.74	472.928	Share	0.0	0.4	0.0	0.0	0.0	132	5	0.0	0.0	0.0	0
155	0	159.749	472.644	181.093	472.687	Share	0.0	0.33	0.0	0.0	0.0	132	5	0.0	0.0	0.0	0
156	0	231.149	472.644	248.933	472.687	Total	0.0	0.29	0.0	0.0	0.0	106	5	0.0	0.0	0.0	0
157	0	19.5	485.394	55.508	485.437	KSTP-TV,	0.0	0.24	0.0	0.0	0.0	1058	8	0.0	0.0	0.0	0
158	0	57.732	485.394	72.404	485.437	LLC	0.0	0.24	0.0	0.0	0.0	317	3	0.0	0.0	0.0	0
159	0	74.628	485.394	87.972	485.437	and	0.0	0.27	0.0	0.0	0.0	77	3	0.0	0.0	0.0	0
160	0	90.196	485.394	126.652	485.437	KSAX-TV,	0.0	0.27	0.0	0.0	0.0	1065	8	0.0	0.0	0.0	0
161	0	128.876	485.394	141.772	485.437	Inc.	0.0	0.27	0.0	0.0	0.0	166	4	0.0	0.0	0.0	0
162	0	169.201	485.394	185.209	485.437	18%	0.0	0.24	0.0	0.0	0.0	0	3	0.6666667	0.0	0.0	0
163	0	208.201	485.394	248.233	485.437	$82,300.00	0.0	0.26	0.0	0.0	1.0	0	10	0.7	1.0	11.318138	gross_amount
164	0	19.5	499.644	43.948	499.687	Market	0.0	0.38	0.0	0.0	0.0	121	6	0.0	0.0	0.0	0
165	0	164.702	499.644	185.158	499.687	100%	0.0	0.32	0.0	0.0	0.0	0	4	0.75	0.0	0.0	0
166	0	203.761	499.644	248.241	499.687	$457,222.22	0.0	0.26	0.0	0.0	0.24	0	11	0.72727275	1.0	13.032927	0
167	0	19.5	520.884	65.284	520.928	Competitive	0.0	0.31	0.0	0.0	0.0	221	11	0.0	0.0	0.0	0
168	0	67.508	520.884	89.74	520.928	Share	0.0	0.32	0.0	0.0	0.0	132	5	0.0	0.0	0.0	0
169	0	159.749	520.644	181.093	520.687	Share	0.0	0.32	0.0	0.0	0.0	132	5	0.0	0.0	0.0	0
170	0	231.149	520.644	248.933	520.687	Total	0.0	0.32	0.0	0.0	0.0	106	5	0.0	0.0	0.0	0
171	0	19.5	533.394	45.732	533.437	CABLE	0.0	0.32	0.0	0.0	0.0	165	5	0.0	0.0	0.0	0
172	0	228.241	533.394	248.257	533.437	$0.00	0.0	0.25	0.0	0.0	0.67	0	5	0.6	1.0	0.0	0
173	0	19.5	545.394	41.284	545.437	KARE	0.0	0.32	0.0	0.0	0.0	703	4	0.0	0.0	0.0	0
174	0	169.201	545.394	185.209	545.437	25%	0.0	0.27	0.0	0.0	0.0	0	3	0.6666667	0.0	0.0	0
175	0	203.761	545.394	248.241	545.437	$114,305.56	0.0	0.18	0.0	0.0	0.35	0	11	0.72727275	1.0	11.646639	0
176	0	19.5	557.394	42.172	557.437	KMSP	0.0	0.11	0.0	0.0	0.0	690	4	0.0	0.0	0.0	0
177	0	169.201	557.394	185.209	557.437	18%	0.0	0.09	0.0	0.0	0.0	0	3	0.6666667	0.0	0.0	0
178	0	208.201	557.394	248.233	557.437	$82,300.00	0.0	0.07	0.0	0.0	1.0	0	10	0.7	1.0	11.318138	gross_amount
179	0	19.5	569.394	44.388	569.437	KMWB	0.0	0.13	0.0	0.0	0.0	1016	4	0.0	0.0	0.0	0
