	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	423.0	25.174	439.448	25.217	Print	0.0	0.4	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
1	0	441.672	25.174	458.568	25.217	Date	0.0	0.4	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
2	0	474.001	25.174	505.137	25.217	09/18/12	0.0	0.4	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
3	0	533.251	25.174	551.931	25.217	Page	0.0	0.37	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
4	0	122.25	39.946	163.91	40.016	WTIC-TV	0.0	0.26	0.0	0.0	0.0	2187	7	0.0	0.0	0.0	0
5	0	276.465	38.688	334.241	38.799	ORDER	0.0	0.3	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
6	0	198.0	59.097	222.45	59.151	Flight	0.0	0.32	0.0	0.0	0.0	61	6	0.0	0.0	0.0	0
7	0	225.23	59.097	335.421	59.516	Dates09/18/12-09/24/12	0.0	0.32	0.0	0.0	0.0	18	22	0.54545456	0.0	0.0	0
8	0	378.0	77.097	403.56	77.151	Order	0.0	0.3	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
9	0	406.34	77.097	424.13	77.151	Sep	0.0	0.27	0.0	0.0	0.0	241	3	0.0	0.0	0.0	0
10	0	450.0	77.097	488.92	77.151	00:15:00	0.0	0.27	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
11	0	198.0	101.097	232.46	101.151	Product	0.0	0.29	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
12	0	378.0	101.097	416.9	101.151	Estimate	0.0	0.37	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
13	0	450.0	101.446	472.24	101.516	1312	0.0	0.37	0.0	0.0	0.67	0	4	1.0	1.0	7.18007	0
14	0	18.0	122.097	55.79	122.151	Contract	0.0	0.37	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
15	0	64.13	122.097	102.47	122.151	Revision	0.0	0.22	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
16	0	132.659	122.446	166.019	122.516	385686	0.0	0.24	0.0	0.0	0.35	0	6	1.0	1.0	12.862782	0
17	0	198.0	119.446	228.55	119.516	LINDA	0.0	0.68	0.0	0.0	0.0	1008	5	0.0	0.0	0.0	advertiser
18	0	231.33	119.446	284.65	119.516	MCMAHON	0.0	0.68	0.0	0.0	0.0	2250	7	0.0	0.0	0.0	advertiser
19	0	295.77	119.446	316.33	119.516	SEN	0.0	0.68	0.0	0.0	0.0	1421	3	0.0	0.0	0.0	advertiser
20	0	378.0	119.097	389.67	119.151	Alt	0.0	0.57	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
21	0	392.45	119.097	418.01	119.151	Order	0.0	0.31	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
22	0	450.0	119.446	494.48	119.516	06307026	0.0	0.25	0.0	0.0	0.44	0	8	1.0	1.0	15.657175	0
23	0	18.751	140.097	53.201	140.151	Original	0.0	0.33	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
24	0	55.981	140.097	77.101	140.151	Date	0.0	0.33	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
