	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	408.002	17.963	424.45	26.899	Print	0.0	0.38	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
1	0	426.674	17.963	443.57	26.899	Date	0.0	0.38	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
2	0	450.0	17.963	481.136	26.899	10/30/12	0.0	0.29	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
3	0	483.36	17.963	514.496	26.899	15:40:32	0.0	0.24	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
4	0	534.002	17.963	552.682	26.899	Page	0.0	0.19	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
5	0	276.84	28.783	334.616	46.655	ORDER	0.0	0.4	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
6	0	18.0	72.203	44.232	81.139	Orders	0.0	0.32	0.0	0.0	0.0	54	6	0.0	0.0	0.0	0
7	0	87.001	72.203	108.785	81.139	Order	0.0	0.3	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
8	0	115.457	72.203	132.793	81.139	Rev:	0.0	0.3	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
9	0	171.72	72.203	193.96	81.139	68970	0.0	0.27	0.0	0.0	0.53	0	5	1.0	1.0	11.141441	0
10	0	87.001	86.963	96.337	95.899	Alt	0.0	0.32	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
11	0	98.561	86.963	119.009	95.899	Order	0.0	0.32	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
12	0	171.751	86.963	202.887	95.899	9853398	0.0	0.24	0.0	0.0	0.59	0	7	1.0	1.0	16.103327	0
13	0	205.111	86.963	224.231	95.899	/Brad	0.0	0.28	0.0	0.0	0.0	1219	5	0.0	0.0	0.0	0
14	0	87.001	101.963	114.569	110.899	Product	0.0	0.43	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
15	0	116.793	101.963	137.241	110.899	Desc:	0.0	0.67	0.0	0.0	0.0	141	5	0.0	0.0	0.0	0
16	0	171.751	101.963	185.983	110.899	Bob	0.0	1.0	0.0	0.0	0.0	1147	3	0.0	0.0	0.0	advertiser
17	0	188.207	101.963	210.879	110.899	Casey	0.0	1.0	0.0	0.0	0.0	1503	5	0.0	0.0	0.0	advertiser
18	0	213.103	101.963	225.103	110.899	For	0.0	1.0	0.0	0.0	0.0	50	3	0.0	0.0	0.0	advertiser
19	0	227.327	101.963	252.679	110.899	Senate	0.0	1.0	0.0	0.0	0.0	249	6	0.0	0.0	0.0	advertiser
20	0	87.001	116.963	120.345	125.899	Estimate:	0.0	0.7	0.0	0.0	0.0	23	9	0.0	0.0	0.0	0
21	0	432.0	115.703	463.552	124.639	WHP-TV	0.0	0.44	0.0	0.0	0.0	1366	6	0.0	0.0	0.0	0
22	0	465.776	115.703	491.56	124.639	CBS21	0.0	0.35	0.0	0.0	0.0	261	5	0.4	0.0	0.0	0
23	0	87.001	131.963	106.561	140.899	Flight	0.0	0.35	0.0	0.0	0.0	61	6	0.0	0.0	0.0	0
24	0	108.785	131.963	131.905	140.899	Dates:	0.0	0.35	0.0	0.0	0.0	18	6	0.0	0.0	0.0	0
25	0	171.751	131.963	202.887	140.899	10/31/12	0.0	0.29	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
26	0	209.999	131.963	241.135	140.899	11/05/12	0.0	0.18	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
27	0	331.501	131.963	359.053	140.899	Primary	0.0	0.22	0.0	0.0	0.0	80	7	0.0	0.0	0.0	0
28	0	361.277	131.963	374.173	140.899	AE:	0.0	0.27	0.0	0.0	0.0	123	3	0.0	0.0	0.0	0
29	0	432.0	131.963	470.224	140.899	Millennium	0.0	0.27	0.0	0.0	0.0	442	10	0.0	0.0	0.0	0
30	0	472.448	131.963	514.688	140.899	Washington	0.0	0.39	0.0	0.0	0.0	97	10	0.0	0.0	0.0	0
31	0	87.001	146.963	114.561	155.899	Original	0.0	0.45	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
32	0	116.785	146.963	133.681	155.899	Date	0.0	0.45	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
33	0	140.353	146.963	156.801	155.899	Rev:	0.0	0.35	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
34	0	171.751	146.963	202.887	155.899	10/29/12	0.0	0.18	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
35	0	209.559	146.963	240.695	155.899	10/29/12	0.0	0.29	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
36	0	331.501	146.963	351.509	155.899	Sales	0.0	0.37	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
37	0	353.733	146.963	376.853	155.899	Office:	0.0	0.43	0.0	0.0	0.0	12	7	0.0	0.0	0.0	0
38	0	432.0	147.203	454.664	156.139	MNAT	0.0	0.43	0.0	0.0	0.0	773	4	0.0	0.0	0.0	0
39	0	87.001	161.963	107.449	170.899	Order	0.0	0.42	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
40	0	109.673	161.963	129.681	170.899	Type:	0.0	0.37	0.0	0.0	0.0	45	5	0.0	0.0	0.0	0
41	0	171.751	161.963	209.983	170.899	GENERAL	0.0	0.31	0.0	0.0	0.0	138	7	0.0	0.0	0.0	0
42	0	331.501	161.963	351.509	170.899	Sales	0.0	0.31	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
43	0	353.733	161.963	381.301	170.899	Region:	0.0	0.26	0.0	0.0	0.0	69	7	0.0	0.0	0.0	0
44	0	432.0	162.203	461.344	171.139	National	0.0	0.26	0.0	0.0	0.0	213	8	0.0	0.0	0.0	0
45	0	18.0	192.203	46.896	201.139	Agency	0.0	0.36	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
46	0	87.001	192.203	111.449	201.139	Name:	0.0	0.36	0.0	0.0	0.0	110	5	0.0	0.0	0.0	0
47	0	171.72	192.203	193.056	201.139	Shorr	0.0	0.35	0.0	0.0	0.0	805	5	0.0	0.0	0.0	0
48	0	195.28	192.203	228.616	201.139	Johnson	0.0	0.35	0.0	0.0	0.0	619	7	0.0	0.0	0.0	0
49	0	230.84	192.203	261.064	201.139	Magnus	0.0	0.35	0.0	0.0	0.0	936	6	0.0	0.0	0.0	0
50	0	87.001	206.963	111.457	215.899	Buying	0.0	0.29	0.0	0.0	0.0	67	6	0.0	0.0	0.0	0
51	0	113.681	206.963	143.473	215.899	Contact:	0.0	0.26	0.0	0.0	0.0	79	8	0.0	0.0	0.0	0
52	0	331.501	206.963	352.837	215.899	Billing	0.0	0.25	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
53	0	355.061	206.963	375.069	215.899	Type:	0.0	0.34	0.0	0.0	0.0	45	5	0.0	0.0	0.0	0
54	0	432.0	206.963	450.672	215.899	Cash	0.0	0.39	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
55	0	87.001	221.963	108.337	230.899	Billing	0.0	0.39	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
56	0	110.561	221.963	140.353	230.899	Contact:	0.0	0.39	0.0	0.0	0.0	79	8	0.0	0.0	0.0	0
57	0	331.501	221.963	352.837	230.899	Billing	0.0	0.36	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
58	0	355.061	221.963	389.741	230.899	Calendar:	0.0	0.38	0.0	0.0	0.0	48	9	0.0	0.0	0.0	0
59	0	432.0	221.963	468.016	230.899	Broadcast	0.0	0.47	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
60	0	171.751	236.963	189.543	245.899	1831	0.0	0.47	0.0	0.0	0.57	0	4	1.0	1.0	7.5131636	0
61	0	191.767	236.963	223.783	245.899	Chestnut	0.0	0.47	0.0	0.0	0.0	827	8	0.0	0.0	0.0	0
62	0	226.007	236.963	247.351	245.899	Street	0.0	0.41	0.0	0.0	0.0	162	6	0.0	0.0	0.0	0
63	0	331.501	236.963	352.837	245.899	Billing	0.0	0.24	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
64	0	355.061	236.963	377.285	245.899	Cycle:	0.0	0.24	0.0	0.0	0.0	32	6	0.0	0.0	0.0	0
65	0	432.0	236.963	469.784	245.899	EOM/EOC	0.0	0.27	0.0	0.0	0.0	43	7	0.0	0.0	0.0	0
66	0	170.252	251.963	216.052	260.899	Philadelphia,	0.0	0.27	0.0	0.0	0.0	217	13	0.0	0.0	0.0	0
67	0	233.396	251.963	255.636	260.899	19103	0.0	0.23	0.0	0.0	0.53	0	5	1.0	1.0	9.857653	0
68	0	331.501	251.963	358.181	260.899	Agency	0.0	0.26	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
69	0	360.405	251.963	406.629	260.899	Commission:	0.0	0.35	0.0	0.0	0.0	83	11	0.0	0.0	0.0	0
70	0	432.0	251.963	448.008	260.899	15%	0.0	0.45	0.0	0.0	0.0	0	3	0.6666667	0.0	0.0	0
71	0	18.0	282.203	57.568	291.139	Advertiser	0.0	0.48	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
72	0	87.001	282.203	111.449	291.139	Name:	0.0	0.61	0.0	0.0	0.0	110	5	0.0	0.0	0.0	0
73	0	171.72	282.203	231.744	291.139	Casey/D/Senate	0.0	0.71	0.0	0.0	0.0	2815	14	0.0	0.0	0.0	0
74	0	87.001	296.963	136.793	305.899	Demographic:	0.0	0.51	0.0	0.0	0.0	40	12	0.0	0.0	0.0	0
75	0	171.751	296.963	190.655	305.899	A35+	0.0	0.47	0.0	0.0	0.0	16	4	0.5	0.0	0.0	0
76	0	331.501	296.963	347.501	305.899	New	0.0	0.44	0.0	0.0	0.0	46	3	0.0	0.0	0.0	0
77	0	349.725	296.963	382.181	305.899	Business	0.0	0.32	0.0	0.0	0.0	131	8	0.0	0.0	0.0	0
78	0	384.405	296.963	403.077	305.899	Thru:	0.0	0.35	0.0	0.0	0.0	139	5	0.0	0.0	0.0	0
79	0	87.001	311.963	114.569	320.899	Product	0.0	0.4	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
80	0	116.793	311.963	142.137	320.899	Codes:	0.0	0.43	0.0	0.0	0.0	86	6	0.0	0.0	0.0	0
81	0	171.751	312.203	190.431	321.139	State	0.0	0.43	0.0	0.0	0.0	473	5	0.0	0.0	0.0	0
82	0	192.655	312.203	225.111	321.139	Elections	0.0	0.38	0.0	0.0	0.0	1220	9	0.0	0.0	0.0	0
83	0	331.501	311.963	351.949	320.899	Order	0.0	0.42	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
84	0	354.173	311.963	395.085	320.899	Separation:	0.0	0.42	0.0	0.0	0.0	142	11	0.0	0.0	0.0	0
85	0	432.0	311.963	463.136	320.899	00:15:00	0.0	0.34	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
86	0	87.001	326.963	114.113	335.899	Priority:	0.0	0.34	0.0	0.0	0.0	96	9	0.0	0.0	0.0	0
87	0	171.751	327.203	184.199	336.139	P-3	0.0	0.37	0.0	0.0	0.0	27	3	0.33333334	0.0	0.0	0
88	0	331.501	326.963	367.509	335.899	Advertiser	0.0	0.4	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
89	0	369.733	326.963	399.077	335.899	External	0.0	0.4	0.0	0.0	0.0	134	8	0.0	0.0	0.0	0
90	0	401.301	326.963	411.525	335.899	ID:	0.0	0.37	0.0	0.0	0.0	119	3	0.0	0.0	0.0	0
91	0	87.001	341.963	119.017	350.899	Revenue	0.0	0.33	0.0	0.0	0.0	143	7	0.0	0.0	0.0	0
92	0	121.241	341.963	146.585	350.899	Codes:	0.0	0.27	0.0	0.0	0.0	86	6	0.0	0.0	0.0	0
93	0	171.751	341.963	190.871	350.899	AGY,	0.0	0.36	0.0	0.0	0.0	163	4	0.0	0.0	0.0	0
94	0	193.095	341.963	236.655	350.899	POL-CAND,	0.0	0.4	0.0	0.0	0.0	653	9	0.0	0.0	0.0	0
95	0	238.879	341.963	256.215	350.899	GEN	0.0	0.4	0.0	0.0	0.0	203	3	0.0	0.0	0.0	0
96	0	331.501	341.963	358.181	350.899	Agency	0.0	0.4	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
97	0	360.405	341.963	389.749	350.899	External	0.0	0.37	0.0	0.0	0.0	134	8	0.0	0.0	0.0	0
98	0	391.973	341.963	402.197	350.899	ID:	0.0	0.29	0.0	0.0	0.0	119	3	0.0	0.0	0.0	0
99	0	19.5	363.953	31.948	372.889	Bill	0.0	0.33	0.0	0.0	0.0	129	4	0.0	0.0	0.0	0
100	0	34.172	363.953	51.068	372.889	Plan	0.0	0.39	0.0	0.0	0.0	87	4	0.0	0.0	0.0	0
101	0	307.5	363.953	331.06	372.889	Totals	0.0	0.44	0.0	0.0	0.0	30	6	0.0	0.0	0.0	0
102	0	19.5	375.713	36.396	384.649	Start	0.0	0.44	0.0	0.0	0.0	26	5	0.0	0.0	0.0	0
103	0	38.62	375.713	55.516	384.649	Date	0.0	0.44	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
104	0	74.251	375.713	88.483	384.649	End	0.0	0.42	0.0	0.0	0.0	28	3	0.0	0.0	0.0	0
