	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	408.002	25.174	424.45	25.217	Print	0.0	0.24	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
1	0	426.674	25.174	443.57	25.217	Date	0.0	0.24	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
2	0	450.0	25.174	481.136	25.217	10/11/12	0.0	0.18	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
3	0	483.36	25.174	514.496	25.217	11:16:56	0.0	0.15	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
4	0	534.002	25.174	552.682	25.217	Page	0.0	0.17	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
5	0	276.84	43.205	334.616	43.294	ORDER	0.0	0.47	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
6	0	18.0	79.414	44.232	79.458	Orders	0.0	0.47	0.0	0.0	0.0	54	6	0.0	0.0	0.0	0
7	0	87.001	79.414	108.785	79.458	Order	0.0	0.38	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
8	0	115.457	79.414	132.793	79.458	Rev:	0.0	0.31	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
9	0	171.72	79.414	198.408	79.458	164603	0.0	0.27	0.0	0.0	0.59	0	6	1.0	1.0	12.011298	0
10	0	87.001	94.174	96.337	94.217	Alt	0.0	0.33	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
11	0	98.561	94.174	119.009	94.217	Order	0.0	0.33	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
12	0	171.751	94.174	207.335	94.217	06842760	0.0	0.24	0.0	0.0	0.56	0	8	1.0	1.0	15.738702	0
13	0	87.001	109.174	114.569	109.217	Product	0.0	0.44	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
14	0	116.793	109.174	137.241	109.217	Desc:	0.0	0.86	0.0	0.0	0.0	141	5	0.0	0.0	0.0	0
15	0	171.751	109.174	194.871	109.217	KLINE	0.0	1.0	0.0	0.0	0.0	2934	5	0.0	0.0	0.0	advertiser
16	0	197.095	109.174	213.983	109.217	FOR	0.0	1.0	0.0	0.0	0.0	50	3	0.0	0.0	0.0	advertiser
17	0	216.207	109.174	261.991	109.217	CONGRESS	0.0	1.0	0.0	0.0	0.0	290	8	0.0	0.0	0.0	advertiser
18	0	87.001	124.174	120.345	124.217	Estimate:	0.0	0.78	0.0	0.0	0.0	23	9	0.0	0.0	0.0	0
19	0	171.751	124.174	185.095	124.217	211	0.0	0.56	0.0	0.0	0.57	0	3	1.0	1.0	5.3565865	0
20	0	432.0	122.914	468.448	122.958	KSTP-TV,	0.0	0.36	0.0	0.0	0.0	1058	8	0.0	0.0	0.0	0
21	0	470.672	122.914	486.224	122.958	LLC	0.0	0.24	0.0	0.0	0.0	317	3	0.0	0.0	0.0	0
22	0	488.448	122.914	502.672	122.958	and	0.0	0.26	0.0	0.0	0.0	77	3	0.0	0.0	0.0	0
23	0	504.896	122.914	542.232	122.958	KSAX-TV,	0.0	0.3	0.0	0.0	0.0	1065	8	0.0	0.0	0.0	0
24	0	544.456	122.914	558.24	122.958	Inc.	0.0	0.31	0.0	0.0	0.0	166	4	0.0	0.0	0.0	0
25	0	87.001	139.174	106.561	139.217	Flight	0.0	0.36	0.0	0.0	0.0	61	6	0.0	0.0	0.0	0
26	0	108.785	139.174	131.905	139.217	Dates:	0.0	0.36	0.0	0.0	0.0	18	6	0.0	0.0	0.0	0
27	0	171.751	139.174	202.887	139.217	10/16/12	0.0	0.28	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
28	0	209.999	139.174	241.135	139.217	10/22/12	0.0	0.13	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
29	0	331.501	139.174	359.053	139.217	Primary	0.0	0.21	0.0	0.0	0.0	80	7	0.0	0.0	0.0	0
30	0	361.277	139.174	374.173	139.217	AE:	0.0	0.26	0.0	0.0	0.0	123	3	0.0	0.0	0.0	0
31	0	432.0	139.174	456.896	139.217	Rachel	0.0	0.29	0.0	0.0	0.0	533	6	0.0	0.0	0.0	0
32	0	459.12	139.174	486.688	139.217	Chason	0.0	0.29	0.0	0.0	0.0	1420	6	0.0	0.0	0.0	0
33	0	87.001	154.174	114.561	154.217	Original	0.0	0.3	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
34	0	116.785	154.174	133.681	154.217	Date	0.0	0.3	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
35	0	140.353	154.174	156.801	154.217	Rev:	0.0	0.3	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
36	0	171.751	154.174	202.887	154.217	10/11/12	0.0	0.18	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
37	0	209.559	154.174	240.695	154.217	10/11/12	0.0	0.21	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
38	0	331.501	154.174	351.509	154.217	Sales	0.0	0.32	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
39	0	353.733	154.174	376.853	154.217	Office:	0.0	0.32	0.0	0.0	0.0	12	7	0.0	0.0	0.0	0
40	0	432.0	154.414	455.56	154.457	P-PHL	0.0	0.32	0.0	0.0	0.0	939	5	0.0	0.0	0.0	0
41	0	87.001	169.174	107.449	169.217	Order	0.0	0.32	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
42	0	109.673	169.174	129.681	169.217	Type:	0.0	0.32	0.0	0.0	0.0	45	5	0.0	0.0	0.0	0
43	0	171.751	169.174	209.983	169.217	GENERAL	0.0	0.36	0.0	0.0	0.0	138	7	0.0	0.0	0.0	0
44	0	331.501	169.174	351.509	169.217	Sales	0.0	0.36	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
45	0	353.733	169.174	381.301	169.217	Region:	0.0	0.29	0.0	0.0	0.0	69	7	0.0	0.0	0.0	0
46	0	432.0	169.414	461.344	169.457	National	0.0	0.33	0.0	0.0	0.0	213	8	0.0	0.0	0.0	0
47	0	18.0	199.414	46.896	199.458	Agency	0.0	0.33	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
48	0	87.001	199.414	111.449	199.458	Name:	0.0	0.33	0.0	0.0	0.0	110	5	0.0	0.0	0.0	0
49	0	171.72	199.414	202.4	199.458	Stevens	0.0	0.33	0.0	0.0	0.0	1992	7	0.0	0.0	0.0	0
50	0	204.624	199.414	224.184	199.458	Reed	0.0	0.31	0.0	0.0	0.0	1993	4	0.0	0.0	0.0	0
51	0	226.408	199.414	251.744	199.458	Curcio	0.0	0.31	0.0	0.0	0.0	1994	6	0.0	0.0	0.0	0
52	0	261.968	199.414	293.968	199.458	Potholm	0.0	0.32	0.0	0.0	0.0	2008	7	0.0	0.0	0.0	0
53	0	87.001	214.174	111.457	214.217	Buying	0.0	0.33	0.0	0.0	0.0	67	6	0.0	0.0	0.0	0
54	0	113.681	214.174	143.473	214.217	Contact:	0.0	0.33	0.0	0.0	0.0	79	8	0.0	0.0	0.0	0
55	0	331.501	214.174	352.837	214.217	Billing	0.0	0.38	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
56	0	355.061	214.174	375.069	214.217	Type:	0.0	0.38	0.0	0.0	0.0	45	5	0.0	0.0	0.0	0
57	0	432.0	214.174	450.672	214.217	Cash	0.0	0.38	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
58	0	87.001	229.174	108.337	229.217	Billing	0.0	0.39	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
59	0	110.561	229.174	140.353	229.217	Contact:	0.0	0.39	0.0	0.0	0.0	79	8	0.0	0.0	0.0	0
60	0	331.501	229.174	352.837	229.217	Billing	0.0	0.37	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
61	0	355.061	229.174	389.741	229.217	Calendar:	0.0	0.34	0.0	0.0	0.0	48	9	0.0	0.0	0.0	0
62	0	432.0	229.174	468.016	229.217	Broadcast	0.0	0.34	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
63	0	171.751	244.174	185.095	244.217	201	0.0	0.35	0.0	0.0	0.57	0	3	1.0	1.0	5.3082676	0
64	0	187.319	244.174	208.215	244.217	Union	0.0	0.39	0.0	0.0	0.0	841	5	0.0	0.0	0.0	0
65	0	210.439	244.174	231.783	244.217	Street	0.0	0.39	0.0	0.0	0.0	162	6	0.0	0.0	0.0	0
66	0	234.007	244.174	248.239	244.217	Ste.	0.0	0.39	0.0	0.0	0.0	344	4	0.0	0.0	0.0	0
67	0	250.463	244.174	263.807	244.217	200	0.0	0.35	0.0	0.0	0.57	0	3	1.0	1.0	5.3033047	0
