	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	18.0	17.57	48.311	26.865	Contract	0.0	0.25	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	50.64	17.57	89.951	26.865	Agreement	0.0	0.3	0.0	0.0	0.0	115	9	0.0	0.0	0.0	0
2	0	92.28	17.57	125.591	26.865	Between:	0.0	0.3	0.0	0.0	0.0	120	8	0.0	0.0	0.0	0
3	0	429.96	17.57	446.471	26.865	Print	0.0	0.3	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
4	0	448.8	17.57	465.741	26.865	Date	0.0	0.27	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
5	0	474.0	17.57	505.221	26.865	10/01/12	0.0	0.21	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
6	0	533.28	17.57	552.022	26.865	Page	0.0	0.24	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
7	0	261.48	26.072	350.413	45.064	CONTRACT	0.0	0.16	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
8	0	120.0	53.45	148.274	65.302	WFXT	0.0	0.21	0.0	0.0	0.0	1869	4	0.0	0.0	0.0	0
9	0	406.68	52.85	436.99	62.145	Contract	0.0	0.23	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
10	0	443.88	52.85	474.621	62.145	Revision	0.0	0.23	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
11	0	495.84	52.85	505.271	62.145	Alt	0.0	0.23	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
12	0	507.6	52.85	528.032	62.145	Order	0.0	0.23	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
13	0	133.8	65.45	151.567	77.302	Fox	0.0	0.21	0.0	0.0	0.0	285	3	0.0	0.0	0.0	0
14	0	154.32	65.45	179.287	77.302	Drive	0.0	0.17	0.0	0.0	0.0	637	5	0.0	0.0	0.0	0
15	0	415.08	64.85	446.182	74.145	4055370	0.0	0.17	0.0	0.0	0.53	0	7	1.0	1.0	15.215552	0
16	0	495.84	64.85	523.661	74.145	Political	0.0	0.31	0.0	0.0	0.0	160	9	0.0	0.0	0.0	0
17	0	525.96	64.85	545.301	74.145	Issue	0.0	0.31	0.0	0.0	0.0	343	5	0.0	0.0	0.0	0
18	0	120.0	77.45	162.123	89.302	Dedham,	0.0	0.31	0.0	0.0	0.0	1937	7	0.0	0.0	0.0	0
19	0	185.76	77.45	238.807	89.302	02027-2563	0.0	0.27	0.0	0.0	0.0	0	10	0.9	0.0	0.0	0
20	0	309.0	78.29	336.671	87.585	Product	0.0	0.35	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
21	0	120.0	89.45	143.23	101.302	(781)	0.0	0.73	0.0	0.0	0.0	0	5	0.6	0.0	0.0	0
22	0	146.04	89.45	188.047	101.302	467-2525	0.0	0.82	0.0	0.0	0.0	0	8	0.875	0.0	0.0	0
23	0	307.44	90.257	343.663	99.825	American	0.0	1.0	0.0	0.0	0.0	258	8	0.0	0.0	0.0	advertiser
24	0	345.96	90.257	390.502	99.825	Crossroads	0.0	1.0	0.0	0.0	0.0	607	10	0.0	0.0	0.0	advertiser
25	0	308.28	103.13	338.591	112.425	Contract	0.0	0.82	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
26	0	340.92	103.13	361.852	112.425	Dates	0.0	0.73	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
27	0	407.28	103.13	438.862	112.425	Estimate	0.0	0.41	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
28	0	18.0	115.587	69.566	123.129	myfoxboston.com	0.0	0.26	0.0	0.0	0.0	1938	15	0.0	0.0	0.0	0
29	0	308.28	115.097	339.502	124.665	10/02/12	0.0	0.2	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
30	0	346.68	115.097	377.902	124.665	10/08/12	0.0	0.34	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
31	0	407.28	115.097	420.621	124.665	692	0.0	0.42	0.0	0.0	0.67	0	3	1.0	1.0	6.54103	0
32	0	309.0	127.85	345.152	137.145	Advertiser	0.0	0.45	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
33	0	484.44	127.85	512.021	137.145	Original	0.0	0.45	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
34	0	514.32	127.85	531.262	137.145	Date	0.0	0.45	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
35	0	538.08	127.85	568.822	137.145	Revision	0.0	0.82	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
36	0	309.0	139.817	345.223	149.385	American	0.0	1.0	0.0	0.0	0.0	258	8	0.0	0.0	0.0	advertiser
37	0	347.52	139.817	392.062	149.385	Crossroads	0.0	1.0	0.0	0.0	0.0	607	10	0.0	0.0	0.0	advertiser
38	0	491.28	139.85	522.502	149.145	07/13/12	0.0	0.82	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
39	0	545.04	139.85	576.262	149.145	10/01/12	0.0	0.44	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
40	0	18.0	149.57	34.511	158.865	And:	0.0	0.27	0.0	0.0	0.0	77	4	0.0	0.0	0.0	0
41	0	406.68	152.57	428.181	161.865	Billing	0.0	0.27	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
42	0	430.44	152.57	450.501	161.865	Cycle	0.0	0.38	0.0	0.0	0.0	32	5	0.0	0.0	0.0	0
43	0	457.92	152.57	479.421	161.865	Billing	0.0	0.38	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
44	0	481.68	152.57	514.112	161.865	Calendar	0.0	0.42	0.0	0.0	0.0	48	8	0.0	0.0	0.0	0
45	0	536.4	152.57	578.301	161.865	Cash/Trade	0.0	0.42	0.0	0.0	0.0	150	10	0.0	0.0	0.0	0
46	0	406.68	164.57	444.634	173.865	EOM/EOC	0.0	0.54	0.0	0.0	0.0	43	7	0.0	0.0	0.0	0
47	0	457.92	164.57	494.111	173.865	Broadcast	0.0	0.63	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
48	0	536.4	164.57	555.141	173.865	Cash	0.0	0.75	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
49	0	90.0	169.113	140.114	179.823	Crossroads	0.0	0.75	0.0	0.0	0.0	607	10	0.0	0.0	0.0	0
50	0	142.68	169.113	168.314	179.823	Media	0.0	0.65	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
51	0	170.88	169.113	188.405	179.823	LLC	0.0	0.6	0.0	0.0	0.0	317	3	0.0	0.0	0.0	0
52	0	102.6	179.553	127.177	190.263	Canal	0.0	0.42	0.0	0.0	0.0	622	5	0.0	0.0	0.0	0
53	0	129.72	179.553	158.294	190.263	Center	0.0	0.35	0.0	0.0	0.0	403	6	0.0	0.0	0.0	0
54	0	160.8	179.553	183.914	190.263	Plaza	0.0	0.35	0.0	0.0	0.0	616	5	0.0	0.0	0.0	0
55	0	406.44	177.29	431.541	186.585	Station	0.0	0.29	0.0	0.0	0.0	57	7	0.0	0.0	0.0	0
56	0	457.92	177.29	487.031	186.585	Account	0.0	0.26	0.0	0.0	0.0	15	7	0.0	0.0	0.0	0
57	0	489.36	177.29	524.061	186.585	Executive	0.0	0.26	0.0	0.0	0.0	24	9	0.0	0.0	0.0	0
58	0	536.28	177.29	556.372	186.585	Sales	0.0	0.29	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
59	0	558.72	177.29	579.861	186.585	Office	0.0	0.29	0.0	0.0	0.0	12	6	0.0	0.0	0.0	0
60	0	90.0	189.993	112.034	200.703	Suite	0.0	0.29	0.0	0.0	0.0	140	5	0.0	0.0	0.0	0
61	0	114.6	189.993	129.674	200.703	555	0.0	0.27	0.0	0.0	0.53	0	3	1.0	1.0	6.3207684	0
62	0	406.44	189.257	429.463	198.825	WFXT	0.0	0.24	0.0	0.0	0.0	1869	4	0.0	0.0	0.0	0
63	0	457.92	189.29	474.311	198.585	Walt	0.0	0.29	0.0	0.0	0.0	2229	4	0.0	0.0	0.0	0
64	0	476.64	189.29	498.501	198.585	Lopko	0.0	0.29	0.0	0.0	0.0	2248	5	0.0	0.0	0.0	0
65	0	536.28	189.29	551.952	198.585	FSS	0.0	0.29	0.0	0.0	0.0	648	3	0.0	0.0	0.0	0
66	0	554.28	189.29	597.981	198.585	Philadelphia	0.0	0.29	0.0	0.0	0.0	217	12	0.0	0.0	0.0	0
67	0	90.0	200.553	138.577	211.263	Alexandria,	0.0	0.39	0.0	0.0	0.0	220	11	0.0	0.0	0.0	0
68	0	158.52	200.553	183.674	211.263	22314	0.0	0.33	0.0	0.0	0.47	0	5	1.0	1.0	10.013015	0
69	0	406.56	202.13	432.941	211.425	Special	0.0	0.3	0.0	0.0	0.0	104	7	0.0	0.0	0.0	0
70	0	435.24	202.13	466.822	211.425	Handling	0.0	0.33	0.0	0.0	0.0	116	8	0.0	0.0	0.0	0
71	0	406.56	226.85	454.252	236.145	Demographic	0.0	0.33	0.0	0.0	0.0	40	11	0.0	0.0	0.0	0
72	0	406.32	238.85	428.692	248.144	Adults	0.0	0.33	0.0	0.0	0.0	192	6	0.0	0.0	0.0	0
73	0	431.04	238.85	444.606	248.144	35+	0.0	0.3	0.0	0.0	0.0	0	3	0.6666667	0.0	0.0	0
74	0	536.28	251.57	554.141	260.864	Total	0.0	0.33	0.0	0.0	0.0	106	5	0.0	0.0	0.0	0
