	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	18.0	25.174	48.232	25.217	Contract	0.0	0.21	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	50.456	25.174	89.584	25.217	Agreement	0.0	0.26	0.0	0.0	0.0	115	9	0.0	0.0	0.0	0
2	0	91.808	25.174	125.16	25.217	Between:	0.0	0.33	0.0	0.0	0.0	120	8	0.0	0.0	0.0	0
3	0	429.272	25.174	445.72	25.217	Print	0.0	0.45	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
4	0	447.944	25.174	464.84	25.217	Date	0.0	0.45	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
5	0	474.001	25.174	505.137	25.217	08/20/12	0.0	0.35	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
6	0	533.251	25.174	551.931	25.217	Page	0.0	0.35	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
7	0	261.18	41.705	350.94	41.794	CONTRACT	0.0	0.19	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
8	0	119.999	63.207	166.659	63.262	WPMT-TV	0.0	0.22	0.0	0.0	0.0	2507	7	0.0	0.0	0.0	0
9	0	406.681	60.424	436.913	60.467	Contract	0.0	0.24	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
10	0	443.585	60.424	474.257	60.467	Revision	0.0	0.34	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
11	0	495.842	60.424	505.178	60.467	Alt	0.0	0.34	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
12	0	507.402	60.424	527.85	60.467	Order	0.0	0.34	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
13	0	119.999	75.207	142.239	75.262	2005	0.0	0.26	0.0	0.0	0.57	0	4	1.0	1.0	7.603898	0
14	0	145.019	75.207	173.349	75.262	South	0.0	0.26	0.0	0.0	0.0	849	5	0.0	0.0	0.0	0
15	0	176.129	75.207	207.249	75.262	Queen	0.0	0.26	0.0	0.0	0.0	2508	5	0.0	0.0	0.0	0
16	0	210.029	75.207	238.369	75.262	Street	0.0	0.21	0.0	0.0	0.0	162	6	0.0	0.0	0.0	0
17	0	417.001	72.424	443.689	72.467	381539	0.0	0.16	0.0	0.0	0.62	0	6	1.0	1.0	12.851971	0
18	0	495.842	72.424	531.426	72.467	06287509	0.0	0.21	0.0	0.0	0.59	0	8	1.0	1.0	15.654076	0
19	0	119.999	87.207	145.009	87.262	York,	0.0	0.3	0.0	0.0	0.0	561	5	0.0	0.0	0.0	0
20	0	167.239	87.207	195.039	87.262	17403	0.0	0.32	0.0	0.0	0.67	0	5	1.0	1.0	9.764456	0
21	0	309.002	85.924	336.57	85.967	Product	0.0	0.4	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
22	0	119.999	99.207	143.339	99.262	(717)	0.0	0.47	0.0	0.0	0.0	0	5	0.6	0.0	0.0	0
23	0	146.119	99.207	188.369	99.262	843-0043	0.0	0.55	0.0	0.0	0.0	0	8	0.875	0.0	0.0	0
24	0	307.5	98.164	332.836	98.208	PRIOR	0.0	0.76	0.0	0.0	0.0	423	5	0.0	0.0	0.0	0
25	0	335.06	98.164	351.948	98.208	USA	0.0	0.76	0.0	0.0	0.0	472	3	0.0	0.0	0.0	0
26	0	354.172	98.164	370.612	98.208	ACT	0.0	0.67	0.0	0.0	0.0	1198	3	0.0	0.0	0.0	0
27	0	372.836	98.164	388.404	98.208	8/21	0.0	0.57	0.0	0.0	0.0	0	4	0.75	0.0	0.0	0
28	0	308.251	110.674	338.483	110.717	Contract	0.0	0.31	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
29	0	340.707	110.674	361.603	110.717	Dates	0.0	0.33	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
30	0	407.251	110.674	438.371	110.717	Estimate	0.0	0.29	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
31	0	308.251	122.914	339.387	122.958	08/21/12	0.0	0.2	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
32	0	346.499	122.914	377.635	122.958	08/27/12	0.0	0.33	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
33	0	407.251	122.914	425.043	122.958	1521	0.0	0.4	0.0	0.0	0.71	0	4	1.0	1.0	7.3277807	0
34	0	309.002	135.424	345.01	135.467	Advertiser	0.0	0.45	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
35	0	484.501	135.424	512.061	135.467	Original	0.0	0.48	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
36	0	514.285	135.424	531.181	135.467	Date	0.0	0.56	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
37	0	537.853	135.424	568.525	135.467	Revision	0.0	0.76	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
38	0	309.002	147.664	343.682	147.708	Priorities	0.0	1.0	0.0	0.0	0.0	715	10	0.0	0.0	0.0	advertiser
39	0	345.906	147.664	362.794	147.708	USA	0.0	1.0	0.0	0.0	0.0	472	3	0.0	0.0	0.0	advertiser
40	0	365.018	147.664	389.906	147.708	Action	0.0	0.81	0.0	0.0	0.0	262	6	0.0	0.0	0.0	0
41	0	491.041	147.424	522.177	147.467	08/20/12	0.0	0.65	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
42	0	544.665	147.424	575.801	147.467	08/20/12	0.0	0.16	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
43	0	18.0	157.174	34.456	157.217	And:	0.0	0.21	0.0	0.0	0.0	77	4	0.0	0.0	0.0	0
44	0	406.681	160.174	428.017	160.217	Billing	0.0	0.24	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
45	0	430.241	160.174	450.241	160.217	Cycle	0.0	0.24	0.0	0.0	0.0	32	5	0.0	0.0	0.0	0
46	0	457.92	160.174	479.256	160.217	Billing	0.0	0.2	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
47	0	481.48	160.174	513.936	160.217	Calendar	0.0	0.19	0.0	0.0	0.0	48	8	0.0	0.0	0.0	0
48	0	536.4	160.174	578.192	160.217	Cash/Trade	0.0	0.23	0.0	0.0	0.0	150	10	0.0	0.0	0.0	0
49	0	406.681	172.174	444.465	172.217	EOM/EOC	0.0	0.26	0.0	0.0	0.0	43	7	0.0	0.0	0.0	0
50	0	457.92	172.174	493.936	172.217	Broadcast	0.0	0.32	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
51	0	536.4	172.174	555.072	172.217	Cash	0.0	0.32	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
52	0	90.0	177.871	118.998	177.92	Mundy	0.0	0.32	0.0	0.0	0.0	738	5	0.0	0.0	0.0	0
53	0	121.5	177.871	158.499	177.92	Katowitz	0.0	0.38	0.0	0.0	0.0	736	8	0.0	0.0	0.0	0
54	0	161.001	177.871	186.507	177.92	Media	0.0	0.38	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
