	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	408.0	17.57	424.511	26.865	Print	0.0	0.35	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
1	0	426.84	17.57	443.782	26.865	Date	0.0	0.35	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
2	0	450.0	17.57	481.222	26.865	11/01/12	0.0	0.26	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
3	0	483.48	17.57	514.702	26.865	11:03:47	0.0	0.21	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
4	0	534.0	17.57	552.741	26.865	Page	0.0	0.22	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
5	0	277.2	27.512	334.781	46.504	ORDER	0.0	0.32	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
6	0	18.0	71.537	44.302	81.105	Orders	0.0	0.3	0.0	0.0	0.0	54	6	0.0	0.0	0.0	0
7	0	87.0	71.537	108.842	81.105	Order	0.0	0.32	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
8	0	115.68	71.537	132.992	81.105	Rev:	0.0	0.25	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
9	0	171.72	71.537	198.382	81.105	165109	0.0	0.29	0.0	0.0	0.47	0	6	1.0	1.0	12.014367	0
10	0	87.0	86.57	96.431	95.865	Alt	0.0	0.36	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
11	0	98.76	86.57	119.192	95.865	Order	0.0	0.36	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
12	0	87.0	101.57	114.671	110.865	Product	0.0	0.7	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
13	0	117.0	101.57	137.591	110.865	Desc:	0.0	0.85	0.0	0.0	0.0	141	5	0.0	0.0	0.0	0
14	0	171.72	101.57	193.942	110.865	Martin	0.0	1.0	0.0	0.0	0.0	2339	6	0.0	0.0	0.0	advertiser
15	0	196.2	101.57	225.622	110.865	Heinrich	0.0	1.0	0.0	0.0	0.0	2816	8	0.0	0.0	0.0	advertiser
16	0	227.88	101.57	270.622	110.865	10/29-11/06	0.0	0.72	0.0	0.0	0.0	0	11	0.72727275	0.0	0.0	0
17	0	272.88	101.57	293.312	110.865	Order	0.0	0.64	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
