	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	230.8	11.168	291.712	20.416	Acknowledgment	0.0	0.32	0.0	0.0	0.0	855	14	0.0	0.0	0.0	0
1	0	302.832	11.168	341.96	20.416	Agreement	0.0	0.36	0.0	0.0	0.0	115	9	0.0	0.0	0.0	0
2	0	344.184	11.168	375.312	20.416	Between	0.0	0.34	0.0	0.0	0.0	120	7	0.0	0.0	0.0	0
3	0	377.536	11.168	410.872	20.416	WPVI-TV	0.0	0.29	0.0	0.0	0.0	1063	7	0.0	0.0	0.0	0
4	0	413.096	11.168	470.448	20.416	PHILADELPHIA	0.0	0.26	0.0	0.0	0.0	217	12	0.0	0.0	0.0	0
5	0	472.672	11.168	486.016	20.416	and	0.0	0.26	0.0	0.0	0.0	77	3	0.0	0.0	0.0	0
6	0	598.12	9.776	666.432	19.296	DATE:11-01-2012	0.0	0.26	0.0	0.0	0.0	8	15	0.53333336	0.0	0.0	0
7	0	679.52	9.776	712.088	19.296	PAGE:1	0.0	0.23	0.0	0.0	0.0	7	6	0.16666667	0.0	0.0	0
8	0	130.52	23.518	163.856	32.766	WPVI-TV	0.0	0.22	0.0	0.0	0.0	1063	7	0.0	0.0	0.0	0
9	0	166.08	23.518	223.432	32.766	PHILADELPHIA	0.0	0.22	0.0	0.0	0.0	217	12	0.0	0.0	0.0	0
10	0	510.04	23.717	529.486	31.809	SRCP	0.0	0.23	0.0	0.0	0.0	1130	4	0.0	0.0	0.0	0
11	0	531.432	23.717	553.601	31.809	MEDIA	0.0	0.27	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
12	0	559.824	23.717	579.284	31.809	22066	0.0	0.21	0.0	0.0	0.59	0	5	1.0	1.0	10.001839	0
13	0	130.52	32.518	148.312	41.766	4100	0.0	0.3	0.0	0.0	0.62	0	4	1.0	1.0	8.318986	0
14	0	150.536	32.518	164.312	41.766	City	0.0	0.34	0.0	0.0	0.0	551	4	0.0	0.0	0.0	0
15	0	166.536	32.518	181.656	41.766	Line	0.0	0.34	0.0	0.0	0.0	89	4	0.0	0.0	0.0	0
16	0	183.88	32.518	199.888	41.766	Ave.	0.0	0.34	0.0	0.0	0.0	198	4	0.0	0.0	0.0	0
17	0	510.04	31.957	530.263	40.049	ATTN:	0.0	0.29	0.0	0.0	0.0	875	5	0.0	0.0	0.0	0
18	0	532.209	31.957	555.162	40.049	BETSY	0.0	0.29	0.0	0.0	0.0	1947	5	0.0	0.0	0.0	0
19	0	557.108	31.957	603.777	40.049	VONDERHEID	0.0	0.27	0.0	0.0	0.0	1948	10	0.0	0.0	0.0	0
20	0	130.52	41.518	187.872	50.766	PHILADELPHIA	0.0	0.27	0.0	0.0	0.0	217	12	0.0	0.0	0.0	0
21	0	202.992	41.518	225.232	50.766	19131	0.0	0.29	0.0	0.0	0.47	0	5	1.0	1.0	9.8591175	0
22	0	510.04	40.227	521.716	48.319	201	0.0	0.39	0.0	0.0	0.53	0	3	1.0	1.0	5.3082676	0
23	0	523.662	40.227	548.547	48.319	NORTH	0.0	0.42	0.0	0.0	0.0	753	5	0.0	0.0	0.0	0
24	0	550.493	40.227	573.047	48.319	UNION	0.0	0.42	0.0	0.0	0.0	841	5	0.0	0.0	0.0	0
25	0	574.993	40.227	602.608	48.319	STREET	0.0	0.42	0.0	0.0	0.0	162	6	0.0	0.0	0.0	0
26	0	510.04	48.467	530.655	56.559	SUITE	0.0	0.36	0.0	0.0	0.0	140	5	0.0	0.0	0.0	0
27	0	532.601	48.467	544.277	56.559	200	0.0	0.32	0.0	0.0	0.67	0	3	1.0	1.0	5.3033047	0
28	0	510.04	56.707	554.385	64.799	ALEXANDRIA	0.0	0.29	0.0	0.0	0.0	220	10	0.0	0.0	0.0	0
29	0	567.615	56.707	587.075	64.799	22314	0.0	0.3	0.0	0.0	0.47	0	5	1.0	1.0	10.013015	0
30	0	11.0	83.158	41.232	92.406	Contract	0.0	0.34	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
31	0	60.76	83.158	90.992	92.406	Contract	0.0	0.34	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
32	0	112.12	83.158	142.792	92.406	Revision	0.0	0.3	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
33	0	161.64	83.158	180.312	92.406	Rev#	0.0	0.3	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
34	0	185.64	83.158	221.648	92.406	Advertiser	0.0	0.33	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
35	0	348.76	83.158	370.104	92.406	Brand	0.0	0.33	0.0	0.0	0.0	366	5	0.0	0.0	0.0	0
36	0	527.64	83.168	555.208	92.416	Product	0.0	0.33	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
37	0	557.432	83.168	576.552	92.416	Code	0.0	0.33	0.0	0.0	0.0	19	4	0.0	0.0	0.0	0
38	0	659.24	83.168	710.816	92.416	Station/Market	0.0	0.33	0.0	0.0	0.0	853	14	0.0	0.0	0.0	0
39	0	19.12	93.278	45.808	102.526	403098	0.0	0.29	0.0	0.0	0.67	0	6	1.0	1.0	12.906938	0
40	0	59.08	93.278	99.992	102.526	10-22-2012	0.0	0.23	0.0	0.0	0.0	0	10	0.8	0.0	0.0	0
41	0	110.24	93.278	151.152	102.526	10-31-2012	0.0	0.44	0.0	0.0	0.0	0	10	0.8	0.0	0.0	0
42	0	184.52	93.278	209.408	102.526	SMITH	0.0	0.88	0.0	0.0	0.0	1285	5	0.0	0.0	0.0	0
43	0	211.632	93.278	228.52	102.526	FOR	0.0	0.88	0.0	0.0	0.0	50	3	0.0	0.0	0.0	0
44	0	230.744	93.278	264.976	102.526	SENATE,	0.0	0.88	0.0	0.0	0.0	249	7	0.0	0.0	0.0	0
45	0	267.2	93.278	284.976	102.526	TOM	0.0	0.8	0.0	0.0	0.0	964	3	0.0	0.0	0.0	0
46	0	348.76	93.278	366.536	102.526	TOM	0.0	1.0	0.0	0.0	0.0	964	3	0.0	0.0	0.0	advertiser
47	0	368.76	93.278	393.648	102.526	SMITH	0.0	1.0	0.0	0.0	0.0	1285	5	0.0	0.0	0.0	advertiser
48	0	395.872	93.278	412.76	102.526	FOR	0.0	1.0	0.0	0.0	0.0	50	3	0.0	0.0	0.0	advertiser
49	0	414.984	93.278	446.992	102.526	SENATE	0.0	1.0	0.0	0.0	0.0	249	6	0.0	0.0	0.0	advertiser
50	0	527.64	93.278	573.88	102.526	POLITICALS	0.0	0.68	0.0	0.0	0.0	856	10	0.0	0.0	0.0	0
51	0	659.24	93.278	679.688	102.526	WPVI	0.0	0.45	0.0	0.0	0.0	901	4	0.0	0.0	0.0	0
52	0	686.8	93.278	744.152	102.526	PHILADELPHIA	0.0	0.27	0.0	0.0	0.0	217	12	0.0	0.0	0.0	0
53	0	35.44	113.518	62.12	122.766	Agency	0.0	0.26	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
54	0	64.344	113.518	80.352	122.766	Est#	0.0	0.33	0.0	0.0	0.0	395	4	0.0	0.0	0.0	0
