	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	408.002	17.903	424.45	26.839	Print	0.0	0.33	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
1	0	426.674	17.903	443.57	26.839	Date	0.0	0.33	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
2	0	450.0	17.903	481.136	26.839	09/20/12	0.0	0.26	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
3	0	483.36	17.903	514.496	26.839	17:48:21	0.0	0.22	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
4	0	534.002	17.903	552.682	26.839	Page	0.0	0.21	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
5	0	276.69	28.543	334.466	46.415	ORDER	0.0	0.32	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
6	0	18.0	72.143	44.232	81.079	Orders	0.0	0.32	0.0	0.0	0.0	54	6	0.0	0.0	0.0	0
7	0	87.001	72.143	108.785	81.079	Order	0.0	0.32	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
8	0	115.457	72.143	132.793	81.079	Rev:	0.0	0.32	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
9	0	171.72	72.143	198.408	81.079	707798	0.0	0.22	0.0	0.0	0.59	0	6	1.0	1.0	13.469915	0
10	0	87.001	86.903	96.337	95.839	Alt	0.0	0.18	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
11	0	98.561	86.903	119.009	95.839	Order	0.0	0.28	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
12	0	171.751	86.903	207.335	95.839	06286905	0.0	0.29	0.0	0.0	0.56	0	8	1.0	1.0	15.653979	0
13	0	87.001	101.903	114.569	110.839	Product	0.0	0.69	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
14	0	116.793	101.903	137.241	110.839	Desc:	0.0	0.8	0.0	0.0	0.0	141	5	0.0	0.0	0.0	0
15	0	171.751	101.903	211.751	110.839	SHERROD	0.0	0.9	0.0	0.0	0.0	1944	7	0.0	0.0	0.0	advertiser
