	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	18.0	25.174	48.232	25.217	Contract	0.0	0.35	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	50.456	25.174	89.584	25.217	Agreement	0.0	0.34	0.0	0.0	0.0	115	9	0.0	0.0	0.0	0
2	0	91.808	25.174	125.16	25.217	Between:	0.0	0.34	0.0	0.0	0.0	120	8	0.0	0.0	0.0	0
3	0	429.272	25.174	445.72	25.217	Print	0.0	0.34	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
4	0	447.944	25.174	464.84	25.217	Date	0.0	0.34	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
5	0	474.001	25.174	505.137	25.217	11/12/12	0.0	0.25	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
6	0	533.251	25.174	551.931	25.217	Page	0.0	0.21	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
7	0	261.18	41.705	350.94	41.794	CONTRACT	0.0	0.46	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
8	0	119.999	63.207	149.439	63.262	WTTG	0.0	0.4	0.0	0.0	0.0	1260	4	0.0	0.0	0.0	0
9	0	406.681	60.424	436.913	60.467	Contract	0.0	0.35	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
10	0	443.585	60.424	474.257	60.467	Revision	0.0	0.39	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
11	0	495.842	60.424	505.178	60.467	Alt	0.0	0.43	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
12	0	507.402	60.424	527.85	60.467	Order	0.0	0.43	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
13	0	119.999	75.207	142.239	75.262	5151	0.0	0.36	0.0	0.0	0.53	0	4	1.0	1.0	8.54714	0
14	0	145.019	75.207	195.029	75.262	Wisconsin	0.0	0.35	0.0	0.0	0.0	306	9	0.0	0.0	0.0	0
15	0	197.809	75.207	216.149	75.262	Ave	0.0	0.22	0.0	0.0	0.0	198	3	0.0	0.0	0.0	0
16	0	417.001	72.424	443.689	72.467	123934	0.0	0.34	0.0	0.0	0.47	0	6	1.0	1.0	11.727512	0
17	0	495.842	72.424	520.738	72.467	Barack	0.0	0.48	0.0	0.0	0.0	1442	6	0.0	0.0	0.0	0
18	0	522.962	72.424	549.194	72.467	Obama	0.0	0.5	0.0	0.0	0.0	333	5	0.0	0.0	0.0	0
19	0	119.999	87.207	179.999	87.262	Washington,	0.0	0.42	0.0	0.0	0.0	97	11	0.0	0.0	0.0	0
20	0	202.779	87.207	230.579	87.262	20016	0.0	0.37	0.0	0.0	0.62	0	5	1.0	1.0	9.904337	0
21	0	309.002	85.924	336.57	85.967	Product	0.0	0.18	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
22	0	119.999	99.207	143.339	99.262	(202)	0.0	0.18	0.0	0.0	0.0	0	5	0.6	0.0	0.0	0
23	0	146.119	99.207	188.369	99.262	244-5151	0.0	0.26	0.0	0.0	0.0	0	8	0.875	0.0	0.0	0
24	0	307.5	98.164	324.388	98.208	OFA	0.0	0.37	0.0	0.0	0.0	1270	3	0.0	0.0	0.0	0
25	0	326.612	98.164	342.164	98.208	Add	0.0	0.37	0.0	0.0	0.0	1051	3	0.0	0.0	0.0	0
26	0	354.164	98.164	373.284	98.208	Sked	0.0	0.37	0.0	0.0	0.0	699	4	0.0	0.0	0.0	0
27	0	383.508	98.164	423.98	98.208	9/4-9/10/12	0.0	0.24	0.0	0.0	0.0	0	11	0.6363636	0.0	0.0	0
28	0	308.251	110.674	338.483	110.717	Contract	0.0	0.35	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
29	0	340.707	110.674	361.603	110.717	Dates	0.0	0.29	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
30	0	407.251	110.674	438.371	110.717	Estimate	0.0	0.29	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
31	0	18.0	121.412	72.672	121.457	www.myfoxdc.com	0.0	0.27	0.0	0.0	0.0	1427	15	0.0	0.0	0.0	0
32	0	308.251	122.914	339.387	122.958	09/04/12	0.0	0.21	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
33	0	346.499	122.914	377.635	122.958	09/10/12	0.0	0.22	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
34	0	407.251	122.914	425.043	122.958	1686	0.0	0.28	0.0	0.0	0.67	0	4	1.0	1.0	7.430707	0
35	0	309.002	135.424	345.01	135.467	Advertiser	0.0	0.32	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
36	0	484.501	135.424	512.061	135.467	Original	0.0	0.33	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
37	0	514.285	135.424	531.181	135.467	Date	0.0	0.33	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
38	0	537.853	135.424	568.525	135.467	Revision	0.0	0.79	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
39	0	309.002	147.664	336.122	147.708	Obama	0.0	1.0	0.0	0.0	0.0	333	5	0.0	0.0	0.0	advertiser
40	0	338.346	147.664	349.01	147.708	for	0.0	1.0	0.0	0.0	0.0	50	3	0.0	0.0	0.0	advertiser
41	0	351.234	147.664	382.802	147.708	America	0.0	1.0	0.0	0.0	0.0	201	7	0.0	0.0	0.0	advertiser
42	0	491.041	147.424	522.177	147.467	08/30/12	0.0	0.79	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
43	0	544.665	147.424	575.801	147.467	09/11/12	0.0	0.36	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
