	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	18.0	17.57	48.311	26.865	Contract	0.0	0.33	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	50.64	17.57	89.951	26.865	Agreement	0.0	0.4	0.0	0.0	0.0	115	9	0.0	0.0	0.0	0
2	0	92.28	17.57	125.591	26.865	Between:	0.0	0.4	0.0	0.0	0.0	120	8	0.0	0.0	0.0	0
3	0	429.96	17.57	446.471	26.865	Print	0.0	0.37	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
4	0	448.8	17.57	465.741	26.865	Date	0.0	0.37	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
5	0	474.0	17.57	505.221	26.865	09/26/12	0.0	0.29	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
6	0	533.28	17.57	552.022	26.865	Page	0.0	0.26	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
7	0	261.48	26.072	350.413	45.064	CONTRACT	0.0	0.23	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
8	0	120.0	53.45	146.714	65.302	KSAZ	0.0	0.36	0.0	0.0	0.0	618	4	0.0	0.0	0.0	0
9	0	406.68	52.85	436.99	62.145	Contract	0.0	0.36	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
10	0	443.88	52.85	474.621	62.145	Revision	0.0	0.36	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
11	0	495.84	52.85	505.271	62.145	Alt	0.0	0.32	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
12	0	507.6	52.85	528.032	62.145	Order	0.0	0.23	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
13	0	120.0	65.45	136.567	77.302	511	0.0	0.29	0.0	0.0	0.57	0	3	1.0	1.0	6.2383246	0
14	0	154.32	65.45	187.207	77.302	Adams	0.0	0.34	0.0	0.0	0.0	1426	5	0.0	0.0	0.0	0
15	0	189.96	65.45	218.11	77.302	Street	0.0	0.34	0.0	0.0	0.0	162	6	0.0	0.0	0.0	0
16	0	415.08	64.85	446.182	74.145	4074572	0.0	0.28	0.0	0.0	0.44	0	7	1.0	1.0	15.220277	0
17	0	495.84	64.85	523.661	74.145	Political	0.0	0.31	0.0	0.0	0.0	160	9	0.0	0.0	0.0	0
18	0	525.96	64.85	545.301	74.145	Issue	0.0	0.31	0.0	0.0	0.0	343	5	0.0	0.0	0.0	0
19	0	120.0	77.45	161.523	89.302	Phoenix,	0.0	0.2	0.0	0.0	0.0	1269	8	0.0	0.0	0.0	0
20	0	182.76	77.45	210.367	89.302	85003	0.0	0.25	0.0	0.0	0.62	0	5	1.0	1.0	11.350453	0
21	0	309.0	78.29	336.671	87.585	Product	0.0	0.25	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
22	0	120.0	89.45	143.23	101.302	(602)	0.0	0.48	0.0	0.0	0.0	0	5	0.6	0.0	0.0	0
23	0	146.04	89.45	188.047	101.302	257-1234	0.0	0.68	0.0	0.0	0.0	0	8	0.875	0.0	0.0	0
24	0	307.44	90.257	333.071	99.825	AMER.	0.0	0.85	0.0	0.0	0.0	879	5	0.0	0.0	0.0	0
25	0	335.4	90.257	367.752	99.825	FUTURE	0.0	0.85	0.0	0.0	0.0	693	6	0.0	0.0	0.0	0
26	0	370.08	90.257	392.314	99.825	FUND	0.0	0.85	0.0	0.0	0.0	1040	4	0.0	0.0	0.0	0
27	0	308.28	103.13	338.591	112.425	Contract	0.0	0.68	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
28	0	340.92	103.13	361.852	112.425	Dates	0.0	0.49	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
29	0	407.28	103.13	438.862	112.425	Estimate	0.0	0.19	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
30	0	308.28	115.097	339.502	124.665	09/27/12	0.0	0.15	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
31	0	346.68	115.097	377.902	124.665	10/03/12	0.0	0.18	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
32	0	407.28	115.097	440.661	124.665	ORDER#	0.0	0.22	0.0	0.0	0.0	9	6	0.0	0.0	0.0	0
33	0	442.92	115.097	456.262	124.665	492	0.0	0.33	0.0	0.0	0.57	0	3	1.0	1.0	6.200509	0
34	0	309.0	127.85	345.152	137.145	Advertiser	0.0	0.36	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
35	0	484.44	127.85	512.021	137.145	Original	0.0	0.36	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
36	0	514.32	127.85	531.262	137.145	Date	0.0	0.41	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
37	0	538.08	127.85	568.822	137.145	Revision	0.0	0.82	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
38	0	309.0	139.817	345.223	149.385	American	0.0	1.0	0.0	0.0	0.0	258	8	0.0	0.0	0.0	advertiser
39	0	347.52	139.817	372.502	149.385	Future	0.0	1.0	0.0	0.0	0.0	693	6	0.0	0.0	0.0	advertiser
40	0	374.76	139.817	394.423	149.385	Fund	0.0	1.0	0.0	0.0	0.0	1040	4	0.0	0.0	0.0	advertiser
41	0	491.28	139.85	522.502	149.145	09/24/12	0.0	0.82	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
42	0	545.04	139.85	576.262	149.145	09/25/12	0.0	0.21	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
43	0	18.0	149.57	34.511	158.865	And:	0.0	0.27	0.0	0.0	0.0	77	4	0.0	0.0	0.0	0
44	0	406.68	152.57	428.181	161.865	Billing	0.0	0.31	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
45	0	430.44	152.57	450.501	161.865	Cycle	0.0	0.37	0.0	0.0	0.0	32	5	0.0	0.0	0.0	0
46	0	457.92	152.57	479.421	161.865	Billing	0.0	0.37	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
47	0	481.68	152.57	514.112	161.865	Calendar	0.0	0.38	0.0	0.0	0.0	48	8	0.0	0.0	0.0	0
48	0	536.4	152.57	578.301	161.865	Cash/Trade	0.0	0.36	0.0	0.0	0.0	150	10	0.0	0.0	0.0	0
49	0	406.68	164.57	444.634	173.865	EOM/EOC	0.0	0.29	0.0	0.0	0.0	43	7	0.0	0.0	0.0	0
50	0	457.92	164.57	494.111	173.865	Broadcast	0.0	0.3	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
51	0	536.4	164.57	555.141	173.865	Cash	0.0	0.35	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
52	0	90.0	169.113	124.214	179.823	Mentzer	0.0	0.38	0.0	0.0	0.0	413	7	0.0	0.0	0.0	0
53	0	126.72	169.113	152.354	179.823	Media	0.0	0.45	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
54	0	154.92	169.113	186.914	179.823	Service	0.0	0.46	0.0	0.0	0.0	169	7	0.0	0.0	0.0	0
55	0	90.0	179.553	132.471	190.263	Attention:	0.0	0.46	0.0	0.0	0.0	393	10	0.0	0.0	0.0	0
56	0	134.88	179.553	178.034	190.263	Stephanie	0.0	0.33	0.0	0.0	0.0	1848	9	0.0	0.0	0.0	0
57	0	180.6	179.553	225.254	190.263	Kohlbauer	0.0	0.36	0.0	0.0	0.0	4354	9	0.0	0.0	0.0	0
58	0	406.44	177.29	431.541	186.585	Station	0.0	0.36	0.0	0.0	0.0	57	7	0.0	0.0	0.0	0
59	0	457.92	177.29	487.031	186.585	Account	0.0	0.36	0.0	0.0	0.0	15	7	0.0	0.0	0.0	0
60	0	489.36	177.29	524.061	186.585	Executive	0.0	0.37	0.0	0.0	0.0	24	9	0.0	0.0	0.0	0
61	0	536.28	177.29	556.372	186.585	Sales	0.0	0.39	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
62	0	558.72	177.29	579.861	186.585	Office	0.0	0.39	0.0	0.0	0.0	12	6	0.0	0.0	0.0	0
63	0	90.0	189.993	105.074	200.703	600	0.0	0.39	0.0	0.0	0.86	0	3	1.0	1.0	6.398595	0
64	0	107.64	189.993	151.791	200.703	Fairmount	0.0	0.39	0.0	0.0	0.0	697	9	0.0	0.0	0.0	0
65	0	154.32	189.993	186.674	200.703	Avenue	0.0	0.42	0.0	0.0	0.0	277	6	0.0	0.0	0.0	0
