	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	423.0	25.174	439.448	25.217	Print	0.0	0.19	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
1	0	441.672	25.174	458.568	25.217	Date	0.0	0.16	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
2	0	474.001	25.174	505.137	25.217	09/06/12	0.0	0.19	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
3	0	533.251	25.174	551.931	25.217	Page	0.0	0.26	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
4	0	122.25	39.946	147.81	40.016	WXIX	0.0	0.39	0.0	0.0	0.0	780	4	0.0	0.0	0.0	0
5	0	276.465	38.688	334.241	38.799	ORDER	0.0	0.44	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
6	0	198.0	59.097	222.45	59.151	Flight	0.0	0.44	0.0	0.0	0.0	61	6	0.0	0.0	0.0	0
7	0	225.23	59.097	335.421	59.516	Dates08/14/12-08/20/12	0.0	0.3	0.0	0.0	0.0	18	22	0.54545456	0.0	0.0	0
8	0	378.0	77.097	403.56	77.151	Order	0.0	0.42	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
9	0	406.34	77.097	424.13	77.151	Sep	0.0	0.42	0.0	0.0	0.0	241	3	0.0	0.0	0.0	0
10	0	450.0	77.097	488.92	77.151	00:00:00	0.0	0.31	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
11	0	198.0	101.097	232.46	101.151	Product	0.0	0.32	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
12	0	378.0	101.097	416.9	101.151	Estimate	0.0	0.33	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
13	0	450.0	101.446	472.24	101.516	1201	0.0	0.32	0.0	0.0	0.67	0	4	1.0	1.0	7.091742	0
14	0	18.0	122.097	55.79	122.151	Contract	0.0	0.32	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
15	0	64.13	122.097	102.47	122.151	Revision	0.0	0.37	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
16	0	132.659	122.446	166.019	122.516	808248	0.0	0.61	0.0	0.0	0.47	0	6	1.0	1.0	13.602626	0
17	0	198.0	119.446	246.34	119.516	RESTORE	0.0	1.0	0.0	0.0	0.0	1050	7	0.0	0.0	0.0	advertiser
18	0	249.12	119.446	271.34	119.516	OUR	0.0	1.0	0.0	0.0	0.0	308	3	0.0	0.0	0.0	advertiser
19	0	274.12	119.446	314.67	119.516	FUTURE	0.0	1.0	0.0	0.0	0.0	693	6	0.0	0.0	0.0	advertiser
20	0	378.0	119.097	389.67	119.151	Alt	0.0	0.91	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
21	0	392.45	119.097	418.01	119.151	Order	0.0	0.55	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
22	0	450.0	119.446	494.48	119.516	06273788	0.0	0.3	0.0	0.0	0.67	0	8	1.0	1.0	15.651891	0
23	0	18.751	140.097	53.201	140.151	Original	0.0	0.26	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
24	0	55.981	140.097	77.101	140.151	Date	0.0	0.29	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
25	0	85.441	140.097	123.781	140.151	Revision	0.0	0.36	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
26	0	198.0	143.097	231.35	143.151	Agency	0.0	0.36	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
27	0	234.13	143.097	255.24	143.151	Com	0.0	0.36	0.0	0.0	0.0	260	3	0.0	0.0	0.0	0
28	0	270.0	143.097	290.01	143.151	15%	0.0	0.33	0.0	0.0	0.0	0	3	0.6666667	0.0	0.0	0
29	0	378.0	138.597	404.67	138.651	Billing	0.0	0.13	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
30	0	407.45	138.597	429.68	138.651	Type	0.0	0.17	0.0	0.0	0.0	45	4	0.0	0.0	0.0	0
31	0	450.0	138.597	473.34	138.651	Cash	0.0	0.24	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
32	0	91.5	156.597	130.42	156.651	08/13/12	0.0	0.29	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
33	0	143.252	156.597	182.172	156.651	08/15/12	0.0	0.36	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
34	0	378.0	156.597	403.56	156.651	Order	0.0	0.48	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
35	0	406.34	156.597	428.57	156.651	Type	0.0	0.48	0.0	0.0	0.0	45	4	0.0	0.0	0.0	0
36	0	450.0	156.597	484.45	156.651	Political	0.0	0.29	0.0	0.0	0.0	160	9	0.0	0.0	0.0	0
37	0	198.0	161.097	224.67	161.151	Billing	0.0	0.24	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
38	0	227.45	161.097	261.91	161.151	Contact	0.0	0.19	0.0	0.0	0.0	79	7	0.0	0.0	0.0	0
39	0	378.0	173.847	404.67	173.901	Billing	0.0	0.25	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
40	0	407.45	173.847	432.45	173.901	Cycle	0.0	0.38	0.0	0.0	0.0	32	5	0.0	0.0	0.0	0
41	0	450.0	173.847	497.23	173.901	EOM/EOC	0.0	0.6	0.0	0.0	0.0	43	7	0.0	0.0	0.0	0
42	0	18.0	178.347	117.661	178.766	AdvertiserIss/Restore	0.0	0.7	0.0	0.0	0.0	6404	21	0.0	0.0	0.0	0
43	0	120.441	178.696	138.221	178.766	Our	0.0	0.72	0.0	0.0	0.0	308	3	0.0	0.0	0.0	0
44	0	141.001	178.696	172.111	178.766	Future	0.0	0.72	0.0	0.0	0.0	693	6	0.0	0.0	0.0	0
45	0	198.0	190.696	214.68	190.766	600	0.0	0.65	0.0	0.0	0.71	0	3	1.0	1.0	6.398595	0
46	0	217.46	190.696	260.24	190.766	Farimont	0.0	0.5	0.0	0.0	0.0	2429	8	0.0	0.0	0.0	0
47	0	263.02	190.696	299.14	190.766	Avenue	0.0	0.31	0.0	0.0	0.0	277	6	0.0	0.0	0.0	0
48	0	378.0	190.347	404.67	190.401	Billing	0.0	0.18	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
49	0	407.45	190.347	512.23	190.401	CalendarBROADCAST	0.0	0.21	0.0	0.0	0.0	266	17	0.0	0.0	0.0	0
50	0	198.0	202.696	222.45	202.766	Suite	0.0	0.21	0.0	0.0	0.0	140	5	0.0	0.0	0.0	0
51	0	225.23	202.696	241.91	202.766	306	0.0	0.2	0.0	0.0	0.71	0	3	1.0	1.0	5.7268476	0
52	0	378.0	209.097	437.46	209.151	Demographic	0.0	0.21	0.0	0.0	0.0	40	11	0.0	0.0	0.0	0
53	0	450.0	209.097	473.63	209.151	A35+	0.0	0.22	0.0	0.0	0.0	16	4	0.5	0.0	0.0	0
54	0	198.0	214.696	238.56	214.766	Towson,	0.0	0.26	0.0	0.0	0.0	441	7	0.0	0.0	0.0	0
55	0	262.45	214.696	290.25	214.766	21286	0.0	0.2	0.0	0.0	0.5	0	5	1.0	1.0	9.965852	0
56	0	18.0	220.347	51.35	220.401	Agency	0.0	0.17	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
57	0	63.751	220.696	101.531	220.766	Mentzer	0.0	0.17	0.0	0.0	0.0	413	7	0.0	0.0	0.0	0
58	0	104.311	220.696	132.651	220.766	Media	0.0	0.21	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
59	0	135.431	220.696	176.571	220.766	Services	0.0	0.25	0.0	0.0	0.0	299	8	0.0	0.0	0.0	0
60	0	378.0	227.097	395.78	227.151	Rev	0.0	0.27	0.0	0.0	0.0	71	3	0.0	0.0	0.0	0
61	0	398.56	227.097	427.46	227.151	Codes	0.0	0.27	0.0	0.0	0.0	86	5	0.0	0.0	0.0	0
62	0	450.0	227.097	483.35	227.151	Agency	0.0	0.27	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
63	0	498.002	227.097	532.452	227.151	Political	0.0	0.22	0.0	0.0	0.0	160	9	0.0	0.0	0.0	0
64	0	546.001	227.097	587.681	227.151	Pol-Issue	0.0	0.22	0.0	0.0	0.0	1704	9	0.0	0.0	0.0	0
65	0	18.0	238.347	48.57	238.401	Buying	0.0	0.2	0.0	0.0	0.0	67	6	0.0	0.0	0.0	0
66	0	51.35	238.347	85.81	238.401	Contact	0.0	0.24	0.0	0.0	0.0	79	7	0.0	0.0	0.0	0
67	0	198.751	245.097	223.761	245.151	Sales	0.0	0.32	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
68	0	226.541	245.097	252.661	245.151	Office	0.0	0.32	0.0	0.0	0.0	12	6	0.0	0.0	0.0	0
69	0	263.251	245.457	287.131	245.511	T-DC	0.0	0.32	0.0	0.0	0.0	1463	4	0.0	0.0	0.0	0
70	0	378.0	245.097	412.46	245.151	Product	0.0	0.32	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
71	0	415.24	245.097	444.14	245.151	Codes	0.0	0.22	0.0	0.0	0.0	86	5	0.0	0.0	0.0	0
72	0	450.0	245.457	473.35	245.511	PL20	0.0	0.22	0.0	0.0	0.0	211	4	0.5	0.0	0.0	0
73	0	198.751	261.597	223.761	261.651	Sales	0.0	0.28	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
74	0	226.541	261.597	258.221	261.651	Region	0.0	0.32	0.0	0.0	0.0	69	6	0.0	0.0	0.0	0
75	0	263.251	261.957	299.931	262.011	National	0.0	0.32	0.0	0.0	0.0	213	8	0.0	0.0	0.0	0
76	0	378.0	261.597	409.11	261.651	Priority	0.0	0.33	0.0	0.0	0.0	96	8	0.0	0.0	0.0	0
77	0	18.0	267.946	34.68	268.016	600	0.0	0.28	0.0	0.0	0.71	0	3	1.0	1.0	6.398595	0
78	0	37.46	267.946	80.24	268.016	Farimont	0.0	0.29	0.0	0.0	0.0	2429	8	0.0	0.0	0.0	0
79	0	83.02	267.946	119.14	268.016	Avenue	0.0	0.3	0.0	0.0	0.0	277	6	0.0	0.0	0.0	0
80	0	18.0	279.946	42.45	280.016	Suite	0.0	0.3	0.0	0.0	0.0	140	5	0.0	0.0	0.0	0
81	0	45.23	279.946	61.91	280.016	306	0.0	0.28	0.0	0.0	0.71	0	3	1.0	1.0	5.7268476	0
82	0	198.601	277.347	231.951	277.401	Agency	0.0	0.32	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
83	0	234.731	277.347	250.291	277.401	Ref	0.0	0.38	0.0	0.0	0.0	63	3	0.0	0.0	0.0	0
84	0	378.0	277.347	423.01	277.401	Advertiser	0.0	0.38	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
85	0	425.79	277.347	441.35	277.401	Ref	0.0	0.38	0.0	0.0	0.0	63	3	0.0	0.0	0.0	0
86	0	18.0	291.946	58.56	292.016	Towson,	0.0	0.38	0.0	0.0	0.0	441	7	0.0	0.0	0.0	0
