	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	408.002	17.963	424.45	26.899	Print	0.0	0.29	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
1	0	426.674	17.963	443.57	26.899	Date	0.0	0.25	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
2	0	450.0	17.963	481.136	26.899	09/24/12	0.0	0.2	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
3	0	483.36	17.963	514.496	26.899	13:42:44	0.0	0.17	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
4	0	534.002	17.963	552.682	26.899	Page	0.0	0.2	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
5	0	276.84	28.783	334.616	46.655	ORDER	0.0	0.36	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
6	0	18.0	72.203	44.232	81.139	Orders	0.0	0.41	0.0	0.0	0.0	54	6	0.0	0.0	0.0	0
7	0	87.001	72.203	108.785	81.139	Order	0.0	0.41	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
8	0	115.457	72.203	132.793	81.139	Rev:	0.0	0.36	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
9	0	171.72	72.203	193.96	81.139	59215	0.0	0.21	0.0	0.0	0.62	0	5	1.0	1.0	10.988947	0
10	0	87.001	86.963	96.337	95.899	Alt	0.0	0.19	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
11	0	98.561	86.963	119.009	95.899	Order	0.0	0.19	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
12	0	171.751	86.963	207.335	95.899	09825272	0.0	0.35	0.0	0.0	0.44	0	8	1.0	1.0	16.100468	0
13	0	87.001	101.963	114.569	110.899	Product	0.0	0.51	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
14	0	116.793	101.963	137.241	110.899	Desc:	0.0	0.7	0.0	0.0	0.0	141	5	0.0	0.0	0.0	0
15	0	171.751	101.963	209.535	110.899	Americans	0.0	0.85	0.0	0.0	0.0	984	9	0.0	0.0	0.0	0
16	0	211.759	101.963	221.095	110.899	for	0.0	0.85	0.0	0.0	0.0	50	3	0.0	0.0	0.0	0
17	0	223.319	101.963	236.215	110.899	Job	0.0	0.85	0.0	0.0	0.0	2575	3	0.0	0.0	0.0	0
18	0	87.001	116.963	120.345	125.899	Estimate:	0.0	0.5	0.0	0.0	0.0	23	9	0.0	0.0	0.0	0
19	0	171.751	116.963	189.543	125.899	1020	0.0	0.34	0.0	0.0	0.67	0	4	1.0	1.0	6.928538	0
20	0	432.0	115.703	446.224	124.639	Fox	0.0	0.27	0.0	0.0	0.0	285	3	0.0	0.0	0.0	0
21	0	459.568	115.703	475.128	124.639	JAX	0.0	0.27	0.0	0.0	0.0	1762	3	0.0	0.0	0.0	0
22	0	87.001	131.963	106.561	140.899	Flight	0.0	0.27	0.0	0.0	0.0	61	6	0.0	0.0	0.0	0
23	0	108.785	131.963	131.905	140.899	Dates:	0.0	0.21	0.0	0.0	0.0	18	6	0.0	0.0	0.0	0
24	0	171.751	131.963	202.887	140.899	09/26/12	0.0	0.21	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
25	0	209.999	131.963	241.135	140.899	10/02/12	0.0	0.26	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
