	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	18.0	25.174	48.232	25.217	Contract	0.0	0.34	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	50.456	25.174	89.584	25.217	Agreement	0.0	0.37	0.0	0.0	0.0	115	9	0.0	0.0	0.0	0
2	0	91.808	25.174	125.16	25.217	Between:	0.0	0.39	0.0	0.0	0.0	120	8	0.0	0.0	0.0	0
3	0	429.272	25.174	445.72	25.217	Print	0.0	0.43	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
4	0	447.944	25.174	464.84	25.217	Date	0.0	0.37	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
5	0	474.001	25.174	505.137	25.217	10/02/12	0.0	0.29	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
6	0	533.251	25.174	551.931	25.217	Page	0.0	0.26	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
7	0	261.18	41.705	350.94	41.794	CONTRACT	0.0	0.34	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
8	0	119.999	63.207	148.329	63.262	WTVT	0.0	0.31	0.0	0.0	0.0	1374	4	0.0	0.0	0.0	0
9	0	406.681	60.424	436.913	60.467	Contract	0.0	0.37	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
10	0	443.585	60.424	474.257	60.467	Revision	0.0	0.41	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
11	0	495.842	60.424	505.178	60.467	Alt	0.0	0.41	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
12	0	507.402	60.424	527.85	60.467	Order	0.0	0.41	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
13	0	119.999	75.207	142.239	75.262	3213	0.0	0.38	0.0	0.0	0.53	0	4	1.0	1.0	8.075272	0
14	0	145.019	75.207	168.909	75.262	West	0.0	0.38	0.0	0.0	0.0	696	4	0.0	0.0	0.0	0
15	0	171.689	75.207	213.919	75.262	Kennedy	0.0	0.35	0.0	0.0	0.0	1968	7	0.0	0.0	0.0	0
16	0	216.699	75.207	265.599	75.262	Boulevard	0.0	0.35	0.0	0.0	0.0	1637	9	0.0	0.0	0.0	0
17	0	412.561	72.424	448.145	72.467	04078050	0.0	0.29	0.0	0.0	0.44	0	8	1.0	1.0	15.221129	0
18	0	495.842	72.424	523.402	72.467	Political	0.0	0.29	0.0	0.0	0.0	160	9	0.0	0.0	0.0	0
19	0	525.626	72.424	562.09	72.467	Candidate	0.0	0.3	0.0	0.0	0.0	292	9	0.0	0.0	0.0	0
20	0	119.999	87.207	155.009	87.262	Tampa,	0.0	0.3	0.0	0.0	0.0	1943	6	0.0	0.0	0.0	0
21	0	175.569	87.207	203.369	87.262	33609	0.0	0.27	0.0	0.0	0.5	0	5	1.0	1.0	10.422579	0
22	0	309.002	85.924	336.57	85.967	Product	0.0	0.32	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
23	0	119.999	99.207	143.339	99.262	(813)	0.0	0.27	0.0	0.0	0.0	0	5	0.6	0.0	0.0	0
24	0	146.119	99.207	188.369	99.262	876-1313	0.0	0.33	0.0	0.0	0.0	0	8	0.875	0.0	0.0	0
25	0	307.5	98.164	320.844	98.208	467	0.0	0.58	0.0	0.0	0.57	0	3	1.0	1.0	6.1484685	0
26	0	327.956	98.164	363.068	98.208	ROMNEY	0.0	0.84	0.0	0.0	0.0	673	6	0.0	0.0	0.0	advertiser
27	0	365.292	98.164	382.18	98.208	FOR	0.0	0.84	0.0	0.0	0.0	50	3	0.0	0.0	0.0	advertiser
28	0	384.404	98.164	406.188	98.208	PRES	0.0	0.84	0.0	0.0	0.0	1248	4	0.0	0.0	0.0	advertiser
29	0	308.251	110.674	338.483	110.717	Contract	0.0	0.77	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
30	0	340.707	110.674	361.603	110.717	Dates	0.0	0.47	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
31	0	407.251	110.674	438.371	110.717	Estimate	0.0	0.31	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
32	0	18.0	121.412	94.552	121.457	www.myfoxtampabay.com	0.0	0.26	0.0	0.0	0.0	2147	21	0.0	0.0	0.0	0
33	0	308.251	122.914	339.387	122.958	10/03/12	0.0	0.21	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
34	0	346.499	122.914	377.635	122.958	10/09/12	0.0	0.25	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
35	0	407.251	122.914	440.587	122.958	ORDER#	0.0	0.33	0.0	0.0	0.0	9	6	0.0	0.0	0.0	0
36	0	442.811	122.914	456.155	122.958	467	0.0	0.3	0.0	0.0	0.57	0	3	1.0	1.0	6.1484685	0
37	0	309.002	135.424	345.01	135.467	Advertiser	0.0	0.27	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
38	0	484.501	135.424	512.061	135.467	Original	0.0	0.36	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
39	0	514.285	135.424	531.181	135.467	Date	0.0	0.4	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
40	0	537.853	135.424	568.525	135.467	Revision	0.0	0.58	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
41	0	309.002	147.664	323.218	147.708	Mitt	0.0	0.68	0.0	0.0	0.0	2023	4	0.0	0.0	0.0	0
42	0	325.442	147.664	422.794	147.708	Romney/USA/President/R	0.0	0.75	0.0	0.0	0.0	7316	22	0.0	0.0	0.0	0
43	0	491.041	147.424	522.177	147.467	10/02/12	0.0	0.62	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
44	0	544.665	147.424	575.801	147.467	10/02/12	0.0	0.53	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
45	0	18.0	157.174	34.456	157.217	And:	0.0	0.21	0.0	0.0	0.0	77	4	0.0	0.0	0.0	0
46	0	406.681	160.174	428.017	160.217	Billing	0.0	0.22	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
47	0	430.241	160.174	450.241	160.217	Cycle	0.0	0.22	0.0	0.0	0.0	32	5	0.0	0.0	0.0	0
